variant,p,cred_full_major_alone_mean,cred_full_both_mean,gap_mean,gap_se,ref_2pm1,phrasing_sd_mean,sum_check_mean,is_degenerate,n_items,gap_adj_mean
direct,0.5,0.6965000000000001,0.5075000000000001,0.189,0.03741587054207149,0.0,0.0,1.2040000000000002,False,20,0.0
direct,0.6,0.6849999999999999,0.4000000000000001,0.28500000000000003,0.026182557472284363,0.19999999999999996,0.0,1.085,False,20,0.09600000000000003
direct,0.7,0.7149999999999999,0.29999999999999993,0.41500000000000004,0.010323708024175284,0.3999999999999999,0.0,1.0150000000000001,False,20,0.22600000000000003
direct,0.75,0.7780000000000001,0.2875,0.4905000000000001,0.027791280343983697,0.5,0.0,1.0655,False,20,0.3015000000000001
direct,0.8,0.7900000000000003,0.21500000000000002,0.5750000000000001,0.02250730875445621,0.6000000000000001,0.0,1.0050000000000001,False,20,0.38600000000000007
direct,0.85,0.8525,0.20099999999999998,0.6514999999999999,0.03874528833833932,0.7,0.0,1.0535,False,20,0.46249999999999986
direct,0.9,0.8825,0.225,0.6575000000000001,0.046492076291500865,0.8,0.0,1.1075000000000002,False,20,0.4685000000000001
direct,0.99,0.9899999999999997,0.8574999999999999,0.1325,0.0514723993489408,0.98,0.0,1.8474999999999997,False,20,-0.056499999999999995
prediction,0.5,0.8699863648748233,0.12664166151906966,0.7433447033557534,0.0271702309729869,0.0,0.10732408050282378,0.9966280263938929,False,20,0.0
prediction,0.6,0.868464118082924,0.1204147144448157,0.7480494036381082,0.03828676541382909,0.19999999999999996,0.09624457963188963,0.9888788325277398,False,20,0.004704700282354812
prediction,0.7,0.8916087002393086,0.09523772123683963,0.7963709790024687,0.03310663524445616,0.3999999999999999,0.08407033987950058,0.9868464214761479,False,20,0.05302627564671525
prediction,0.75,0.8731231296315001,0.10051382921993868,0.7726093004115613,0.030886782720105685,0.5,0.09990676732663258,0.9736369588514387,False,20,0.02926459705580786
prediction,0.8,0.8976491437284044,0.09688961041420886,0.8007595333141955,0.021862337668779788,0.6000000000000001,0.08671461374105709,0.9945387541426133,False,20,0.05741482995844205
prediction,0.85,0.868182706537398,0.0803036574938458,0.7878790490435523,0.03435119236452397,0.7,0.08658125125287605,0.9484863640312436,False,20,0.044534345687798904
prediction,0.9,0.8824254455944942,0.07097244088051399,0.8114530047139803,0.02822658076987179,0.8,0.07866886490160999,0.9533978864750082,False,20,0.06810830135822687
prediction,0.99,0.9109036391382453,0.072082748327063,0.8388208908111825,0.02735584512163555,0.98,0.06845906816545154,0.9829863874653085,False,20,0.09547618745542907
