variant,p,cred_full_major_alone_mean,cred_full_both_mean,gap_mean,gap_se,ref_2pm1,phrasing_sd_mean,sum_check_mean,is_degenerate,n_items,gap_adj_mean
direct,0.5,0.7340000000000001,0.49000000000000005,0.24400000000000005,0.03633470140672397,0.0,0.0,1.2239999999999998,False,20,0.0
direct,0.6,0.7275,0.4000000000000001,0.3275,0.021605006729678976,0.19999999999999996,0.0,1.1275,False,20,0.08349999999999996
direct,0.7,0.7534999999999998,0.29999999999999993,0.4535,0.019416149002963057,0.3999999999999999,0.0,1.0535,False,20,0.20949999999999996
direct,0.75,0.808,0.325,0.4830000000000001,0.04615249323253238,0.5,0.0,1.1330000000000002,False,20,0.23900000000000005
direct,0.8,0.8025000000000002,0.20000000000000004,0.6025,0.00848760706466849,0.6000000000000001,0.0,1.0025,False,20,0.3585
direct,0.85,0.8680000000000001,0.2845000000000001,0.5834999999999998,0.06446245337199663,0.7,0.0,1.1525,False,20,0.33949999999999975
direct,0.9,0.889,0.195,0.6940000000000002,0.0327542685044737,0.8,0.0,1.084,False,20,0.4500000000000001
direct,0.99,0.9899999999999997,0.8109999999999999,0.179,0.07326196686872176,0.98,0.0,1.8009999999999997,False,20,-0.06500000000000006
prediction,0.5,0.8603841904964249,0.12451703089849889,0.7358671595979259,0.030359628005942114,0.0,0.11207448433017642,0.9849012213949238,False,20,0.0
prediction,0.6,0.8580634885818927,0.13028996137085583,0.7277735272110368,0.03663423918850849,0.19999999999999996,0.10134006012184797,0.9883534499527485,False,20,-0.008093632386889094
prediction,0.7,0.8825618062899709,0.10628094097303882,0.776280865316932,0.037114883430414226,0.3999999999999999,0.09118261196197658,0.9888427472630099,False,20,0.04041370571900604
prediction,0.75,0.8739484617602538,0.12245878626127331,0.7514896754989805,0.03415012782675072,0.5,0.1045649632481022,0.996407248021527,False,20,0.015622515901054568
prediction,0.8,0.8912903215875188,0.09525844028378128,0.7960318813037376,0.022687977075911615,0.6000000000000001,0.08906891004931487,0.9865487618712999,False,20,0.06016472170581166
prediction,0.85,0.876201497594891,0.09743760404974053,0.7787638935451504,0.0329293312037922,0.7,0.09110102173470598,0.9736391016446314,False,20,0.042896733947224486
prediction,0.9,0.881301178038399,0.07423199141345611,0.8070691866249428,0.02634689921363742,0.8,0.08346867546787212,0.955533169451855,False,20,0.07120202702701683
prediction,0.99,0.8892120006363429,0.0796140255359441,0.8095979751003988,0.031375863367512684,0.98,0.08437132350625073,0.9688260261722871,False,20,0.07373081550247285
