item_id,p,repeat,p_non_cdt,margin,is_k
opaque_00,0.5,0,3.059023363247549e-07,-14.999999642372188,0.0
opaque_00,0.6,0,1.522997951276035e-08,-18.0,0.0
opaque_00,0.7,0,1.6918979223288786e-10,-22.5,0.0
opaque_00,0.75,0,1.637377643252472e-07,-15.624999523162955,0.0
opaque_00,0.8,0,1.637377252871471e-07,-15.62499976158145,0.0
opaque_00,0.85,0,3.224187017655921e-08,-17.249999880790718,0.0
opaque_00,0.9,0,3.059023363247549e-07,-14.999999642372188,0.0
opaque_00,0.99,0,4.6911638017642294e-08,-16.875,0.0
opaque_01,0.5,0,9.056076988852742e-11,-23.125,0.0
opaque_01,0.6,0,5.602797074008041e-09,-18.99999988079844,0.0
opaque_01,0.7,0,1.0677032518831381e-06,-13.74999964237304,0.0
opaque_01,0.75,0,4.944450477491054e-09,-19.125,0.0
opaque_01,0.8,0,1.637377252871471e-07,-15.62499976158145,0.0
opaque_01,0.85,0,3.653482515770715e-08,-17.124999880790718,0.0
opaque_01,0.9,0,5.043472278328002e-07,-14.50000035762804,0.0
opaque_01,0.99,0,5.905303995456778e-10,-21.25,0.0
opaque_02,0.5,0,3.927863875609991e-07,-14.74999952316557,0.0
opaque_02,0.6,0,2.2159489282323004e-08,-17.625,0.0
opaque_02,0.7,0,3.850741907939403e-09,-19.375,0.0
opaque_02,0.75,0,3.850741907939403e-09,-19.375,0.0
opaque_02,0.8,0,7.734422230943586e-08,-16.374999880790718,0.0
opaque_02,0.85,0,1.725782769012759e-08,-17.875,0.0
opaque_02,0.9,0,6.348796291552062e-09,-18.875000596047357,0.0
opaque_02,0.99,0,2.0611536181902033e-09,-20.0,0.0
opaque_03,0.5,0,1.0467401685178159e-08,-18.375,0.0
opaque_03,0.6,0,2.3355930333443423e-09,-19.875,0.0
opaque_03,0.7,0,9.736200303530205e-10,-20.75,0.0
opaque_03,0.75,0,7.582560422162384e-10,-21.0,0.0
opaque_03,0.8,0,3.2241866333029355e-08,-17.25,0.0
opaque_03,0.85,0,3.775134544136581e-11,-24.0,0.0
opaque_03,0.9,0,1.9171715133907573e-10,-22.375,0.0
opaque_03,0.99,0,1.0467407924235758e-08,-18.374999403953723,0.0
opaque_04,0.5,0,3.65348425788669e-08,-17.124999403953723,0.0
opaque_04,0.6,0,3.581747929000289e-10,-21.75,0.0
opaque_04,0.7,0,2.5110002900304572e-08,-17.499999523162955,0.0
opaque_04,0.75,0,4.6911682754379204e-08,-16.874999046362063,0.0
opaque_04,0.8,0,1.6918979223288786e-10,-22.5,0.0
opaque_04,0.85,0,1.4449805540775503e-07,-15.749999642372188,0.0
opaque_04,0.9,0,2.4616969512093895e-10,-22.125,0.0
opaque_04,0.99,0,9.736201464175726e-10,-20.749999880790718,0.0
opaque_05,0.5,0,1.4166087846364157e-09,-20.375,0.0
opaque_05,0.6,0,5.60279640614594e-09,-19.0,0.0
opaque_05,0.7,0,7.991959892315218e-11,-23.25,0.0
opaque_05,0.75,0,3.581747929000289e-10,-21.75,0.0
opaque_05,0.8,0,8.592166611791576e-10,-20.875,0.0
opaque_05,0.85,0,8.592166611791576e-10,-20.875,0.0
opaque_05,0.9,0,1.0261879630648829e-10,-23.0,0.0
opaque_05,0.99,0,2.7894680920908113e-10,-22.0,0.0
opaque_06,0.5,0,9.931200429212717e-08,-16.12499928474449,0.0
opaque_06,0.6,0,3.3982678079468468e-09,-19.5,0.0
opaque_06,0.7,0,1.6373770576809704e-07,-15.624999880790718,0.0
opaque_06,0.75,0,1.0467401685178159e-08,-18.375,0.0
opaque_06,0.8,0,8.152020648014727e-09,-18.625,0.0
opaque_06,0.85,0,1.2751905808907768e-07,-15.874999880790718,0.0
opaque_06,0.9,0,2.7894680920908113e-10,-22.0,0.0
opaque_06,0.99,0,1.1032560311263802e-09,-20.625,0.0
opaque_07,0.5,0,5.211412485172657e-10,-21.375,0.0
opaque_07,0.6,0,2.3355930333443423e-09,-19.875,0.0
opaque_07,0.7,0,3.581747929000289e-10,-21.75,0.0
opaque_07,0.75,0,2.8453347280241004e-08,-17.375,0.0
opaque_07,0.8,0,1.416607602525618e-09,-20.375000834465595,0.0
opaque_07,0.85,0,2.3355913627970335e-09,-19.87500071525642,0.0
opaque_07,0.9,0,9.93119450976052e-08,-16.124999880790718,0.0
opaque_07,0.99,0,2.4616969512093895e-10,-22.125,0.0
opaque_08,0.5,0,2.5109990926928157e-08,-17.5,0.0
opaque_08,0.6,0,2.8453347280241004e-08,-17.375,0.0
opaque_08,0.7,0,8.592167636057654e-10,-20.874999880790718,0.0
opaque_08,0.75,0,2.5109990926928157e-08,-17.5,0.0
opaque_08,0.8,0,4.363462233903899e-09,-19.25,0.0
opaque_08,0.85,0,1.0467406676424179e-08,-18.374999523162955,0.0
opaque_08,0.9,0,1.8553914607279394e-07,-15.49999976158145,0.0
opaque_08,0.99,0,1.416609460128122e-09,-20.374999523162955,0.0
opaque_09,0.5,0,1.8189616842444243e-09,-20.125,0.0
opaque_09,0.6,0,9.23745067782991e-09,-18.499999880790718,0.0
opaque_09,0.7,0,1.4449803818225212e-07,-15.74999976158145,0.0
opaque_09,0.75,0,1.4449803818225212e-07,-15.74999976158145,0.0
opaque_09,0.8,0,5.715003789054104e-07,-14.37500011920963,0.0
opaque_09,0.85,0,2.998960815863541e-09,-19.625,0.0
opaque_09,0.9,0,1.3440411372712085e-08,-18.124999880790718,0.0
opaque_09,0.99,0,5.60279640614594e-09,-19.0,0.0
opaque_10,0.5,0,5.715003107773641e-07,-14.375000238418806,0.0
opaque_10,0.6,0,4.363462233903899e-09,-19.25,0.0
opaque_10,0.7,0,4.6911638017642294e-08,-16.875,0.0
opaque_10,0.75,0,2.998960815863541e-09,-19.625,0.0
opaque_10,0.8,0,5.315788140287311e-08,-16.749999403956735,0.0
opaque_10,0.85,0,1.855391681873269e-07,-15.499999642390776,0.0
opaque_10,0.9,0,1.6373770576809704e-07,-15.624999880790718,0.0
opaque_10,0.99,0,7.194132978569833e-09,-18.75,0.0
opaque_11,0.5,0,2.561281600094309e-06,-12.87500023842199,0.0
opaque_11,0.6,0,6.348800075736417e-09,-18.875,0.0
opaque_11,0.7,0,7.991959892315218e-11,-23.25,0.0
opaque_11,0.75,0,6.69158608681505e-10,-21.125,0.0
opaque_11,0.8,0,3.2241874020089065e-08,-17.24999976158145,0.0
opaque_11,0.85,0,4.0586521248284276e-10,-21.625,0.0
opaque_11,0.9,0,1.553497384210785e-06,-13.375000238419943,0.0
opaque_11,0.99,0,1.3176514268359263e-10,-22.75,0.0
