item_id,p,repeat,p_non_cdt,margin,is_k
opaque_00,0.5,0,0.9999999999999922,32.5,1.0
opaque_00,0.6,0,0.9999999999999991,34.75,1.0
opaque_00,0.7,0,2.978326268620228e-16,-35.75,0.0
opaque_00,0.75,0,3.442477108469858e-14,-31.0,0.0
opaque_00,0.8,0,4.910429870159113e-16,-35.25,0.0
opaque_00,0.85,0,0.9999999999991123,27.75,1.0
opaque_00,0.9,0,1.0261879630648829e-10,-23.0,0.0
opaque_00,0.99,0,0.9999999999999978,33.75,1.0
opaque_01,0.5,0,7.530388099325974e-17,-37.125,0.0
opaque_01,0.6,0,6.431393941451586e-14,-30.375,0.0
opaque_01,0.7,0,1.0395380116702208e-15,-34.5,0.0
opaque_01,0.75,0,0.9999999999998457,29.5,1.0
opaque_01,0.8,0,8.095930175212594e-16,-34.75,0.0
opaque_01,0.85,0,7.433680672296929e-12,-25.625,0.0
opaque_01,0.9,0,0.999999999782756,22.25,1.0
opaque_01,0.99,0,1.2664165549094015e-14,-32.0,0.0
opaque_02,0.5,0,3.442477108469858e-14,-31.0,0.0
opaque_02,0.6,0,0.9999999999998253,29.375,1.0
opaque_02,0.7,0,2.0469717131642038e-16,-36.125,0.0
opaque_02,0.75,0,5.008774637843255e-14,-30.625,0.0
opaque_02,0.8,0,0.9999999999999065,30.0,1.0
opaque_02,0.85,0,2.2007019879753617e-15,-33.75,0.0
opaque_02,0.9,0,2.3659776091347054e-14,-31.375,0.0
opaque_02,0.99,0,1.4068617124461464e-16,-36.5,0.0
opaque_03,0.5,0,3.1391327920480296e-17,-38.0,0.0
opaque_03,0.6,0,8.095930175212594e-16,-34.75,0.0
opaque_03,0.7,0,1.5941831731372972e-16,-36.375,0.0
opaque_03,0.75,0,2.319522830243569e-16,-36.0,0.0
opaque_03,0.8,0,1.0,38.875,1.0
opaque_03,0.85,0,4.910429870159113e-16,-35.25,0.0
opaque_03,0.9,0,7.530388099325974e-17,-37.125,0.0
opaque_03,0.99,0,1.3347932285976013e-15,-34.25,0.0
opaque_04,0.5,0,0.9999999999999065,30.0,1.0
opaque_04,0.6,0,1.5125188821494462e-15,-34.125,0.0
opaque_04,0.7,0,0.9999999999998253,29.375,1.0
opaque_04,0.75,0,2.882350793443557e-13,-28.875,0.0
opaque_04,0.8,0,1.0395380116702208e-15,-34.5,0.0
opaque_04,0.85,0,4.910429870159113e-16,-35.25,0.0
opaque_04,0.9,0,9.17389075417919e-16,-34.625,0.0
opaque_04,0.99,0,2.882350793443557e-13,-28.875,0.0
opaque_05,0.5,0,0.9999999999999931,32.625,1.0
opaque_05,0.6,0,0.9999999999999356,30.375,1.0
opaque_05,0.7,0,1.5941831731372972e-16,-36.375,0.0
opaque_05,0.75,0,2.2007019879753617e-15,-33.75,0.0
opaque_05,0.8,0,0.9999999999999996,35.625,1.0
opaque_05,0.85,0,0.9999999999999996,35.5,1.0
opaque_05,0.9,0,1.2664165549094015e-14,-32.0,0.0
opaque_05,0.99,0,7.681204685202035e-15,-32.5,0.0
opaque_06,0.5,0,1.5428112031916497e-13,-29.5,0.0
opaque_06,0.6,0,1.060357599152272e-13,-29.875,0.0
opaque_06,0.7,0,0.9999999999915765,25.5,1.0
opaque_06,0.75,0,0.9999999999999984,34.125,1.0
opaque_06,0.8,0,0.9999999999999856,31.875,1.0
opaque_06,0.85,0,0.9999999999934397,25.75,1.0
