item_id,p,repeat,p_non_cdt,margin,is_k
opaque_00,0.5,0,3.3982678079468468e-09,-19.5,0.0
opaque_00,0.6,0,7.433680672296929e-12,-25.625,0.0
opaque_00,0.7,0,2.5109990926928157e-08,-17.5,0.0
opaque_00,0.75,0,7.734422230943586e-08,-16.374999880790718,0.0
opaque_00,0.8,0,3.9278634073828336e-07,-14.749999642372188,0.0
opaque_00,0.85,0,2.699578418220125e-07,-15.12499976158145,0.0
opaque_00,0.9,0,1.522997951276035e-08,-18.0,0.0
opaque_00,0.99,0,5.60279640614594e-09,-19.0,0.0
opaque_01,0.5,0,7.582560422162384e-10,-21.0,0.0
opaque_01,0.6,0,6.348800075736417e-09,-18.875,0.0
opaque_01,0.7,0,1.2098659719807352e-06,-13.624999761582103,0.0
opaque_01,0.75,0,3.3982678079468468e-09,-19.5,0.0
opaque_01,0.8,0,1.955568070542584e-08,-17.75,0.0
opaque_01,0.85,0,2.2159489282323004e-08,-17.625,0.0
opaque_01,0.9,0,1.493094675974231e-10,-22.625,0.0
opaque_01,0.99,0,4.1399375473943306e-08,-17.0,0.0
opaque_02,0.5,0,5.3157849718487075e-08,-16.75,0.0
opaque_02,0.6,0,5.3157849718487075e-08,-16.75,0.0
opaque_02,0.7,0,4.6911638017642294e-08,-16.875,0.0
opaque_02,0.75,0,1.3176514268359263e-10,-22.75,0.0
opaque_02,0.8,0,4.1399375473943306e-08,-17.0,0.0
opaque_02,0.85,0,3.160881453314576e-10,-21.875,0.0
opaque_02,0.9,0,1.1628233028868813e-10,-22.875,0.0
opaque_02,0.99,0,3.653482080241728e-08,-17.125,0.0
opaque_03,0.5,0,2.3823696679343506e-07,-15.24999976158145,0.0
opaque_03,0.6,0,4.0586521248284276e-10,-21.625,0.0
opaque_03,0.7,0,7.194132978569833e-09,-18.75,0.0
opaque_03,0.75,0,3.160881453314576e-10,-21.875,0.0
opaque_03,0.8,0,4.944450477491054e-09,-19.125,0.0
opaque_03,0.85,0,1.0261879630648829e-10,-23.0,0.0
opaque_03,0.9,0,8.764248496102857e-08,-16.249999880790718,0.0
opaque_03,0.99,0,2.2159489282323004e-08,-17.625,0.0
opaque_04,0.5,0,4.363462233903899e-09,-19.25,0.0
opaque_04,0.6,0,6.348800075736417e-09,-18.875,0.0
opaque_04,0.7,0,3.850741907939403e-09,-19.375,0.0
opaque_04,0.75,0,2.1024339116182104e-07,-15.37499976158145,0.0
opaque_04,0.8,0,4.363462233903899e-09,-19.25,0.0
opaque_04,0.85,0,5.715002426492935e-07,-14.37500035762804,0.0
opaque_04,0.9,0,4.944450477491054e-09,-19.125,0.0
opaque_04,0.99,0,5.211412485172657e-10,-21.375,0.0
opaque_05,0.5,0,3.581747929000289e-10,-21.75,0.0
opaque_05,0.6,0,1.1032560311263802e-09,-20.625,0.0
opaque_05,0.7,0,1.6918979223288786e-10,-22.5,0.0
opaque_05,0.75,0,9.237449576640118e-09,-18.5,0.0
opaque_05,0.8,0,1.2256067443949272e-11,-25.125,0.0
opaque_05,0.85,0,1.2256067443949272e-11,-25.125,0.0
opaque_05,0.9,0,4.277787868786004e-11,-23.875,0.0
opaque_05,0.99,0,5.109089028037223e-12,-26.0,0.0
opaque_06,0.5,0,9.93119450976052e-08,-16.124999880790718,0.0
opaque_06,0.6,0,5.4927883506529765e-11,-23.625,0.0
opaque_06,0.7,0,5.043476486929152e-07,-14.499999523162955,0.0
opaque_06,0.75,0,7.991959892315218e-11,-23.25,0.0
opaque_06,0.8,0,1.725782769012759e-08,-17.875,0.0
opaque_06,0.85,0,5.043476486929152e-07,-14.499999523162955,0.0
opaque_06,0.9,0,1.2501528648238603e-09,-20.5,0.0
opaque_06,0.99,0,7.734422230943586e-08,-16.374999880790718,0.0
opaque_07,0.5,0,6.348800075736417e-09,-18.875,0.0
opaque_07,0.6,0,1.1032560311263802e-09,-20.625,0.0
opaque_07,0.7,0,4.363462233903899e-09,-19.25,0.0
opaque_07,0.75,0,3.3982678079468468e-09,-19.5,0.0
opaque_07,0.8,0,1.6052280526088547e-09,-20.25,0.0
opaque_07,0.85,0,1.2501528648238603e-09,-20.5,0.0
opaque_07,0.9,0,1.1861120010657661e-08,-18.25,0.0
opaque_07,0.99,0,2.646573631904765e-09,-19.75,0.0
opaque_08,0.5,0,1.8553914607279394e-07,-15.49999976158145,0.0
opaque_08,0.6,0,1.955568070542584e-08,-17.75,0.0
opaque_08,0.7,0,1.3176514268359263e-10,-22.75,0.0
opaque_08,0.75,0,1.522997951276035e-08,-18.0,0.0
opaque_08,0.8,0,1.6052280526088547e-09,-20.25,0.0
opaque_08,0.85,0,2.5109990926928157e-08,-17.5,0.0
opaque_08,0.9,0,3.581747929000289e-10,-21.75,0.0
opaque_08,0.99,0,4.599055376537186e-10,-21.5,0.0
opaque_09,0.5,0,8.592166611791576e-10,-20.875,0.0
opaque_09,0.6,0,6.69158608681505e-10,-21.125,0.0
opaque_09,0.7,0,7.734422230943586e-08,-16.374999880790718,0.0
opaque_09,0.75,0,7.734422230943586e-08,-16.374999880790718,0.0
opaque_09,0.8,0,2.8453347280241004e-08,-17.375,0.0
opaque_09,0.85,0,7.05287985061473e-11,-23.375,0.0
opaque_09,0.9,0,1.125351754703302e-07,-15.999999880790718,0.0
opaque_09,0.99,0,5.60279640614594e-09,-19.0,0.0
opaque_10,0.5,0,3.9278634073828336e-07,-14.749999642372188,0.0
opaque_10,0.6,0,2.5946094982091465e-11,-24.375,0.0
opaque_10,0.7,0,3.466327450774257e-07,-14.874999642372188,0.0
opaque_10,0.75,0,8.152020648014727e-09,-18.625,0.0
opaque_10,0.8,0,8.764248496102857e-08,-16.249999880790718,0.0
opaque_10,0.85,0,2.5109990926928157e-08,-17.5,0.0
opaque_10,0.9,0,4.785094494835719e-06,-12.250000000011369,0.0
opaque_10,0.99,0,6.825603724121504e-08,-16.499999880790718,0.0
opaque_11,0.5,0,8.764248496102857e-08,-16.249999880790718,0.0
opaque_11,0.6,0,2.0611536181902033e-09,-20.0,0.0
opaque_11,0.7,0,1.0815941557168708e-11,-25.25,0.0
opaque_11,0.75,0,7.582560422162384e-10,-21.0,0.0
opaque_11,0.8,0,1.125351754703302e-07,-15.999999880790718,0.0
opaque_11,0.85,0,1.125351754703302e-07,-15.999999880790718,0.0
opaque_11,0.9,0,3.2241866333029355e-08,-17.25,0.0
opaque_11,0.99,0,4.0586521248284276e-10,-21.625,0.0
opaque_12,0.5,0,4.6911638017642294e-08,-16.875,0.0
opaque_12,0.6,0,3.850741907939403e-09,-19.375,0.0
opaque_12,0.7,0,7.194132978569833e-09,-18.75,0.0
opaque_12,0.75,0,1.3887943864771146e-11,-25.0,0.0
opaque_12,0.8,0,2.5109990926928157e-08,-17.5,0.0
opaque_12,0.85,0,5.211412485172657e-10,-21.375,0.0
opaque_12,0.9,0,8.592166611791576e-10,-20.875,0.0
opaque_12,0.99,0,2.5109990926928157e-08,-17.5,0.0
opaque_13,0.5,0,5.4927883506529765e-11,-23.625,0.0
opaque_13,0.6,0,2.646573631904765e-09,-19.75,0.0
opaque_13,0.7,0,2.998960815863541e-09,-19.625,0.0
opaque_13,0.75,0,5.211412485172657e-10,-21.375,0.0
opaque_13,0.8,0,4.599055376537186e-10,-21.5,0.0
opaque_13,0.85,0,4.508755242274496e-12,-26.125,0.0
opaque_13,0.9,0,7.991959892315218e-11,-23.25,0.0
opaque_13,0.99,0,1.8553914607279394e-07,-15.49999976158145,0.0
opaque_14,0.5,0,9.736200303530205e-10,-20.75,0.0
opaque_14,0.6,0,1.1861120010657661e-08,-18.25,0.0
opaque_14,0.7,0,1.8189616842444243e-09,-20.125,0.0
opaque_14,0.75,0,9.736200303530205e-10,-20.75,0.0
opaque_14,0.8,0,6.475945666070602e-07,-14.25000035762804,0.0
opaque_14,0.85,0,6.69158608681505e-10,-21.125,0.0
opaque_14,0.9,0,2.4616969512093895e-10,-22.125,0.0
opaque_14,0.99,0,1.8553914607279394e-07,-15.49999976158145,0.0
opaque_15,0.5,0,3.059023363247549e-07,-14.999999642372188,0.0
opaque_15,0.6,0,1.2751905808907768e-07,-15.874999880790718,0.0
opaque_15,0.7,0,1.8553914607279394e-07,-15.49999976158145,0.0
opaque_15,0.75,0,5.043476486929152e-07,-14.499999523162955,0.0
opaque_15,0.8,0,1.1032560311263802e-09,-20.625,0.0
opaque_15,0.85,0,2.3823696679343506e-07,-15.24999976158145,0.0
opaque_15,0.9,0,1.8553914607279394e-07,-15.49999976158145,0.0
opaque_15,0.99,0,3.059023363247549e-07,-14.999999642372188,0.0
opaque_16,0.5,0,1.1628233028868813e-10,-22.875,0.0
