item_id,p,repeat,p_non_cdt,margin,is_k
opaque_00,0.5,0,2.699578418220125e-07,-15.12499976158145,0.0
opaque_00,0.6,0,7.194132978569833e-09,-18.75,0.0
opaque_00,0.7,0,9.056076988852742e-11,-23.125,0.0
opaque_00,0.75,0,8.764249540882477e-08,-16.24999976158145,0.0
opaque_00,0.8,0,7.734423152958386e-08,-16.37499976158145,0.0
opaque_00,0.85,0,2.8453347280241004e-08,-17.375,0.0
opaque_00,0.9,0,1.6373770576809704e-07,-15.624999880790718,0.0
opaque_00,0.99,0,4.6911638017642294e-08,-16.875,0.0
opaque_01,0.5,0,5.4927883506529765e-11,-23.625,0.0
opaque_01,0.6,0,4.36346119350808e-09,-19.250000238433586,0.0
opaque_01,0.7,0,7.338210680032098e-07,-14.124999880791279,0.0
opaque_01,0.75,0,5.60279640614594e-09,-19.0,0.0
opaque_01,0.8,0,9.93119450976052e-08,-16.124999880790718,0.0
opaque_01,0.85,0,2.5109993920272262e-08,-17.499999880790718,0.0
opaque_01,0.9,0,5.043472278328002e-07,-14.50000035762804,0.0
opaque_01,0.99,0,2.1724399346070676e-10,-22.25,0.0
opaque_02,0.5,0,1.2751904288756714e-07,-15.875000000000455,0.0
opaque_02,0.6,0,1.725782769012759e-08,-17.875,0.0
opaque_02,0.7,0,1.6052280526088547e-09,-20.25,0.0
opaque_02,0.75,0,8.592166611791576e-10,-20.875,0.0
opaque_02,0.8,0,9.93119450976052e-08,-16.124999880790718,0.0
opaque_02,0.85,0,9.237449576640118e-09,-18.5,0.0
opaque_02,0.9,0,3.398271048787565e-09,-19.49999904632614,0.0
opaque_02,0.99,0,7.582560422162384e-10,-21.0,0.0
opaque_03,0.5,0,9.237449576640118e-09,-18.5,0.0
opaque_03,0.6,0,1.6052280526088547e-09,-20.25,0.0
opaque_03,0.7,0,6.69158608681505e-10,-21.125,0.0
opaque_03,0.75,0,9.736200303530205e-10,-20.75,0.0
opaque_03,0.8,0,2.5109990926928157e-08,-17.5,0.0
opaque_03,0.85,0,3.775134544136581e-11,-24.0,0.0
opaque_03,0.9,0,1.3176514268359263e-10,-22.75,0.0
opaque_03,0.99,0,1.04674116676702e-08,-18.37499904632614,0.0
opaque_04,0.5,0,1.7257833862007746e-08,-17.874999642372188,0.0
opaque_04,0.6,0,1.9171715133907573e-10,-22.375,0.0
opaque_04,0.7,0,1.955568769908225e-08,-17.749999642372188,0.0
opaque_04,0.75,0,4.691163801457035e-08,-16.875000000065484,0.0
opaque_04,0.8,0,1.1628233028868813e-10,-22.875,0.0
opaque_04,0.85,0,9.931196877541357e-08,-16.124999642372188,0.0
opaque_04,0.9,0,1.493094675974231e-10,-22.625,0.0
opaque_04,0.99,0,1.103256294163115e-09,-20.62499976158145,0.0
opaque_05,0.5,0,1.6052280526088547e-09,-20.25,0.0
opaque_05,0.6,0,2.998960815863541e-09,-19.625,0.0
opaque_05,0.7,0,7.05287985061473e-11,-23.375,0.0
opaque_05,0.75,0,3.160881453314576e-10,-21.875,0.0
opaque_05,0.8,0,1.1032560311263802e-09,-20.625,0.0
opaque_05,0.85,0,9.736200303530205e-10,-20.75,0.0
opaque_05,0.9,0,7.05287985061473e-11,-23.375,0.0
opaque_05,0.99,0,2.1724399346070676e-10,-22.25,0.0
opaque_06,0.5,0,6.825606978822427e-08,-16.499999403953723,0.0
opaque_06,0.6,0,3.850741907939403e-09,-19.375,0.0
opaque_06,0.7,0,1.125351754703302e-07,-15.999999880790718,0.0
opaque_06,0.75,0,9.237449576640118e-09,-18.5,0.0
opaque_06,0.8,0,1.0467401685178159e-08,-18.375,0.0
opaque_06,0.85,0,1.2751905808907768e-07,-15.874999880790718,0.0
