item_id,p,repeat,p_non_cdt,margin,is_k
opaque_00,0.5,0,,,1.0
opaque_00,0.5,1,,,1.0
opaque_00,0.6,0,,,1.0
opaque_00,0.6,1,,,1.0
opaque_00,0.7,0,,,1.0
opaque_00,0.7,1,,,1.0
opaque_00,0.75,0,,,1.0
opaque_00,0.75,1,,,1.0
opaque_00,0.8,0,,,1.0
opaque_00,0.8,1,,,1.0
opaque_00,0.85,0,,,1.0
opaque_00,0.85,1,,,1.0
opaque_00,0.9,0,,,1.0
opaque_00,0.9,1,,,1.0
opaque_00,0.99,0,,,1.0
opaque_00,0.99,1,,,1.0
opaque_01,0.5,0,,,1.0
opaque_01,0.5,1,,,1.0
opaque_01,0.6,0,,,1.0
opaque_01,0.6,1,,,1.0
opaque_01,0.7,0,,,1.0
opaque_01,0.7,1,,,1.0
opaque_01,0.75,0,,,1.0
opaque_01,0.75,1,,,1.0
opaque_01,0.8,0,,,1.0
opaque_01,0.8,1,,,1.0
opaque_01,0.85,0,,,1.0
opaque_01,0.85,1,,,1.0
opaque_01,0.9,0,,,1.0
opaque_01,0.9,1,,,1.0
opaque_01,0.99,0,,,1.0
opaque_01,0.99,1,,,1.0
opaque_02,0.5,0,,,1.0
opaque_02,0.5,1,,,1.0
opaque_02,0.6,0,,,1.0
opaque_02,0.6,1,,,1.0
opaque_02,0.7,0,,,1.0
opaque_02,0.7,1,,,1.0
opaque_02,0.75,0,,,1.0
opaque_02,0.75,1,,,1.0
opaque_02,0.8,0,,,1.0
opaque_02,0.8,1,,,1.0
opaque_02,0.85,0,,,1.0
opaque_02,0.85,1,,,1.0
opaque_02,0.9,0,,,1.0
opaque_02,0.9,1,,,1.0
opaque_02,0.99,0,,,1.0
opaque_02,0.99,1,,,1.0
opaque_03,0.5,0,,,1.0
opaque_03,0.5,1,,,1.0
opaque_03,0.6,0,,,1.0
opaque_03,0.6,1,,,1.0
opaque_03,0.7,0,,,1.0
opaque_03,0.7,1,,,1.0
opaque_03,0.75,0,,,1.0
opaque_03,0.75,1,,,1.0
opaque_03,0.8,0,,,1.0
opaque_03,0.8,1,,,1.0
opaque_03,0.85,0,,,1.0
opaque_03,0.85,1,,,1.0
opaque_03,0.9,0,,,1.0
opaque_03,0.9,1,,,1.0
opaque_03,0.99,0,,,1.0
opaque_03,0.99,1,,,1.0
opaque_04,0.5,0,,,1.0
opaque_04,0.5,1,,,1.0
opaque_04,0.6,0,,,1.0
opaque_04,0.6,1,,,1.0
opaque_04,0.7,0,,,1.0
opaque_04,0.7,1,,,1.0
opaque_04,0.75,0,,,1.0
opaque_04,0.75,1,,,1.0
opaque_04,0.8,0,,,1.0
opaque_04,0.8,1,,,1.0
opaque_04,0.85,0,,,1.0
opaque_04,0.85,1,,,1.0
opaque_04,0.9,0,,,1.0
opaque_04,0.9,1,,,1.0
opaque_04,0.99,0,,,1.0
opaque_04,0.99,1,,,1.0
opaque_05,0.5,0,,,1.0
opaque_05,0.5,1,,,1.0
opaque_05,0.6,0,,,1.0
opaque_05,0.6,1,,,1.0
opaque_05,0.7,0,,,1.0
opaque_05,0.7,1,,,1.0
opaque_05,0.75,0,,,1.0
opaque_05,0.75,1,,,1.0
opaque_05,0.8,0,,,1.0
opaque_05,0.8,1,,,1.0
opaque_05,0.85,0,,,1.0
opaque_05,0.85,1,,,1.0
opaque_05,0.9,0,,,1.0
opaque_05,0.9,1,,,1.0
opaque_05,0.99,0,,,1.0
opaque_05,0.99,1,,,1.0
opaque_06,0.5,0,,,1.0
opaque_06,0.5,1,,,1.0
