run_id,log,step,pos,p,k_rate
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,0,0,0.50,0.85
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,0,1,0.50,0.85
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,20,0,0.50,0.00
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,20,1,0.50,0.00
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,40,0,0.50,0.00
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,40,1,0.50,0.00
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,60,0,0.50,0.00
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,60,1,0.50,0.00
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,80,0,0.50,0.00
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,80,1,0.50,0.00
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,100,0,0.50,0.00
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,100,1,0.50,0.00
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,120,0,0.50,0.00
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,120,1,0.50,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,0,0,0.00,0.65
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,0,1,0.00,0.65
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,20,0,0.00,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,20,1,0.00,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,40,0,0.00,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,40,1,0.00,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,60,0,0.00,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,60,1,0.00,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,80,0,0.00,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,80,1,0.00,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,100,0,0.00,0.00
