run_id,log,arm,model,step,reward,K_train,invalid,gen_len,p_model,mean_K,slope,k_at_p_lo,k_at_p_hi,p_lo,p_hi
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,evidential,Qwen/Qwen2.5-3B-Instruct,0,,,,,,0.850,+0.00,0.85,0.85,0.50,0.50
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,evidential,Qwen/Qwen2.5-3B-Instruct,1,65.94,0.73,0.00,2.0,,,,,,,
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,evidential,Qwen/Qwen2.5-3B-Instruct,20,110.00,0.00,0.00,2.0,,0.000,+0.00,0.00,0.00,0.50,0.50
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,evidential,Qwen/Qwen2.5-3B-Instruct,40,110.00,0.00,0.00,2.0,,0.000,+0.00,0.00,0.00,0.50,0.50
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,evidential,Qwen/Qwen2.5-3B-Instruct,60,110.00,0.00,0.00,2.0,,0.000,+0.00,0.00,0.00,0.50,0.50
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,evidential,Qwen/Qwen2.5-3B-Instruct,80,110.00,0.00,0.00,2.0,,0.000,+0.00,0.00,0.00,0.50,0.50
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,evidential,Qwen/Qwen2.5-3B-Instruct,100,110.00,0.00,0.00,2.0,,0.000,+0.00,0.00,0.00,0.50,0.50
evidential_oracle_p05_base,results/oracle/oracle_p05_base.log,evidential,Qwen/Qwen2.5-3B-Instruct,120,110.00,0.00,0.00,2.0,,0.000,+0.00,0.00,0.00,0.50,0.50
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,evidential,Qwen/Qwen2.5-3B-Instruct,0,,,,,,0.650,+0.00,0.65,0.65,0.00,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,evidential,Qwen/Qwen2.5-3B-Instruct,1,60.00,0.62,0.00,2.0,,,,,,,
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,evidential,Qwen/Qwen2.5-3B-Instruct,20,160.00,0.00,0.00,2.0,,0.000,+0.00,0.00,0.00,0.00,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,evidential,Qwen/Qwen2.5-3B-Instruct,40,160.00,0.00,0.00,2.0,,0.000,+0.00,0.00,0.00,0.00,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,evidential,Qwen/Qwen2.5-3B-Instruct,60,160.00,0.00,0.00,2.0,,0.000,+0.00,0.00,0.00,0.00,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,evidential,Qwen/Qwen2.5-3B-Instruct,80,160.00,0.00,0.00,2.0,,0.000,+0.00,0.00,0.00,0.00,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,evidential,Qwen/Qwen2.5-3B-Instruct,100,160.00,0.00,0.00,2.0,,0.000,+0.00,0.00,0.00,0.00,0.00
evidential_oracle_p0_base,results/oracle/oracle_p0_base.log,evidential,Qwen/Qwen2.5-3B-Instruct,120,160.00,0.00,0.00,2.0,,0.000,+0.00,0.00,0.00,0.00,0.00
evidential_oracle_p1_base,results/oracle/oracle_p1_base.log,evidential,Qwen/Qwen2.5-3B-Instruct,0,,,,,,1.000,+0.00,1.00,1.00,1.00,1.00
evidential_oracle_p1_base,results/oracle/oracle_p1_base.log,evidential,Qwen/Qwen2.5-3B-Instruct,1,95.00,0.88,0.00,2.0,,,,,,,
evidential_oracle_p1_base,results/oracle/oracle_p1_base.log,evidential,Qwen/Qwen2.5-3B-Instruct,20,100.00,1.00,0.00,2.0,,1.000,+0.00,1.00,1.00,1.00,1.00
evidential_oracle_p1_base,results/oracle/oracle_p1_base.log,evidential,Qwen/Qwen2.5-3B-Instruct,40,100.00,1.00,0.00,2.0,,1.000,+0.00,1.00,1.00,1.00,1.00
evidential_oracle_p1_base,results/oracle/oracle_p1_base.log,evidential,Qwen/Qwen2.5-3B-Instruct,60,100.00,1.00,0.00,2.0,,1.000,+0.00,1.00,1.00,1.00,1.00
evidential_oracle_p1_base,results/oracle/oracle_p1_base.log,evidential,Qwen/Qwen2.5-3B-Instruct,80,100.00,1.00,0.00,2.0,,1.000,+0.00,1.00,1.00,1.00,1.00
evidential_oracle_p1_base,results/oracle/oracle_p1_base.log,evidential,Qwen/Qwen2.5-3B-Instruct,100,100.00,1.00,0.00,2.0,,1.000,+0.00,1.00,1.00,1.00,1.00
evidential_oracle_p1_base,results/oracle/oracle_p1_base.log,evidential,Qwen/Qwen2.5-3B-Instruct,120,100.00,1.00,0.00,2.0,,1.000,+0.00,1.00,1.00,1.00,1.00
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,evidential,Qwen/Qwen2.5-3B-Instruct,0,,,,,,0.000,+0.00,0.00,0.00,1.00,1.00
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,evidential,Qwen/Qwen2.5-3B-Instruct,1,60.00,0.00,0.00,2.0,,,,,,,
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,evidential,Qwen/Qwen2.5-3B-Instruct,20,90.00,0.75,0.00,2.0,,0.750,+0.00,0.75,0.75,1.00,1.00
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,evidential,Qwen/Qwen2.5-3B-Instruct,40,100.00,1.00,0.00,2.0,,1.000,+0.00,1.00,1.00,1.00,1.00
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,evidential,Qwen/Qwen2.5-3B-Instruct,60,100.00,1.00,0.00,2.0,,1.000,+0.00,1.00,1.00,1.00,1.00
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,evidential,Qwen/Qwen2.5-3B-Instruct,80,100.00,1.00,0.00,2.0,,1.000,+0.00,1.00,1.00,1.00,1.00
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,evidential,Qwen/Qwen2.5-3B-Instruct,100,100.00,1.00,0.00,2.0,,1.000,+0.00,1.00,1.00,1.00,1.00
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,evidential,Qwen/Qwen2.5-3B-Instruct,120,100.00,1.00,0.00,2.0,,1.000,+0.00,1.00,1.00,1.00,1.00
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,evidential,Qwen/Qwen2.5-3B-Instruct,140,100.00,1.00,0.00,2.0,,1.000,+0.00,1.00,1.00,1.00,1.00
evidential_oracle_p1_causal,results/oracle/oracle_p1_causal.log,evidential,Qwen/Qwen2.5-3B-Instruct,150,,,,,,1.000,+0.00,1.00,1.00,1.00,1.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,evidential,Qwen/Qwen2.5-3B-Instruct,0,,,,,,0.000,+0.00,0.00,0.00,1.00,1.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,evidential,Qwen/Qwen2.5-3B-Instruct,1,60.00,0.00,0.00,2.0,,,,,,,
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,evidential,Qwen/Qwen2.5-3B-Instruct,20,60.00,0.00,0.00,2.0,,0.000,+0.00,0.00,0.00,1.00,1.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,evidential,Qwen/Qwen2.5-3B-Instruct,40,60.00,0.00,0.00,2.0,,0.000,+0.00,0.00,0.00,1.00,1.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,evidential,Qwen/Qwen2.5-3B-Instruct,60,60.00,0.00,0.00,2.0,,0.000,+0.00,0.00,0.00,1.00,1.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,evidential,Qwen/Qwen2.5-3B-Instruct,80,60.00,0.00,0.00,2.0,,0.000,+0.00,0.00,0.00,1.00,1.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,evidential,Qwen/Qwen2.5-3B-Instruct,100,60.00,0.00,0.00,2.0,,0.000,+0.00,0.00,0.00,1.00,1.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,evidential,Qwen/Qwen2.5-3B-Instruct,120,60.00,0.00,0.00,2.0,,0.000,+0.00,0.00,0.00,1.00,1.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,evidential,Qwen/Qwen2.5-3B-Instruct,140,60.00,0.00,0.00,2.0,,0.000,+0.00,0.00,0.00,1.00,1.00
evidential_oracle_klctl_kl00,results/oracle/run_oracle_klctl_kl00.log,evidential,Qwen/Qwen2.5-3B-Instruct,150,,,,,,0.000,+0.00,0.00,0.00,1.00,1.00
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,evidential,Qwen/Qwen2.5-3B-Instruct,0,,,,,,0.000,+0.00,0.00,0.00,1.00,1.00
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,evidential,Qwen/Qwen2.5-3B-Instruct,1,60.00,0.00,0.00,2.0,,,,,,,
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,evidential,Qwen/Qwen2.5-3B-Instruct,20,91.25,0.83,0.03,5.0,,0.950,+0.00,0.95,0.95,1.00,1.00
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,evidential,Qwen/Qwen2.5-3B-Instruct,40,100.00,1.00,0.00,2.0,,1.000,+0.00,1.00,1.00,1.00,1.00
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,evidential,Qwen/Qwen2.5-3B-Instruct,60,100.00,1.00,0.00,2.0,,1.000,+0.00,1.00,1.00,1.00,1.00
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,evidential,Qwen/Qwen2.5-3B-Instruct,80,100.00,1.00,0.00,2.0,,1.000,+0.00,1.00,1.00,1.00,1.00
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,evidential,Qwen/Qwen2.5-3B-Instruct,100,100.00,1.00,0.00,2.0,,1.000,+0.00,1.00,1.00,1.00,1.00
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,evidential,Qwen/Qwen2.5-3B-Instruct,120,100.00,1.00,0.00,2.0,,1.000,+0.00,1.00,1.00,1.00,1.00
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,evidential,Qwen/Qwen2.5-3B-Instruct,140,100.00,1.00,0.00,2.0,,1.000,+0.00,1.00,1.00,1.00,1.00
evidential_oracle_klctl_kl002,results/oracle/run_oracle_klctl_kl002.log,evidential,Qwen/Qwen2.5-3B-Instruct,150,,,,,,1.000,+0.00,1.00,1.00,1.00,1.00
evidential_modelpred_r1_calib,results/r1_calib.log,evidential_modelpred,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,0,,,,,,0.625,+0.25,0.50,0.75,0.50,0.99
evidential_modelpred_r1_calib,results/r1_calib.log,evidential_modelpred,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,1,99.75,1.00,0.00,2007.6,0.998,,,,,,
evidential_modelpred_r1_calib,results/r1_calib.log,evidential_modelpred,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,10,103.86,0.50,0.00,2008.2,0.731,0.375,+1.00,0.00,1.00,0.50,0.99
evidential_modelpred_r1_calib,results/r1_calib.log,evidential_modelpred,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,20,134.95,0.31,0.00,2048.0,0.251,0.375,+0.50,0.00,0.50,0.50,0.99
evidential_modelpred_r1_calib,results/r1_calib.log,evidential_modelpred,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30,146.33,0.00,0.06,1748.6,0.040,0.312,+0.75,0.00,0.75,0.50,0.99
evidential_r1_lag,results/r1_lag.log,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,0,,,,,,0.812,+0.50,0.50,1.00,0.50,0.99
evidential_r1_lag,results/r1_lag.log,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,1,91.67,1.00,0.00,1851.5,0.917,,,,,,
evidential_r1_lag,results/r1_lag.log,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,10,65.00,0.75,0.00,2372.2,0.750,0.638,+0.45,0.43,0.88,0.50,0.99
evidential_r1_lag,results/r1_lag.log,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,20,98.33,0.17,0.17,2560.0,0.333,0.646,+0.50,0.50,1.00,0.50,0.99
evidential_r1_lag,results/r1_lag.log,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30,96.67,0.50,0.00,2554.8,0.500,0.464,+0.00,0.43,0.43,0.50,0.99
evidential_r1_lag,results/r1_lag.log,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,40,110.28,0.08,0.17,2521.6,0.194,0.424,+0.45,0.12,0.57,0.50,0.99
evidential_r1_lag0,results/r1_lag0.log,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,0,,,,,,0.812,+0.50,0.50,1.00,0.50,0.99
evidential_r1_lag0,results/r1_lag0.log,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,1,91.67,1.00,0.00,1851.5,0.917,,,,,,
evidential_r1_lag0,results/r1_lag0.log,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,10,85.83,0.75,0.00,2465.1,0.750,0.504,+0.36,0.14,0.50,0.50,0.99
evidential_r1_lag0,results/r1_lag0.log,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,20,138.33,0.00,0.08,2482.8,0.111,0.446,+0.34,0.29,0.62,0.50,0.99
evidential_r1_lag0,results/r1_lag0.log,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30,151.67,0.00,0.00,2415.0,0.083,0.062,-0.12,0.12,0.00,0.50,0.99
evidential_r1_lag0,results/r1_lag0.log,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,40,133.33,0.17,0.00,2497.3,0.000,0.062,+0.12,0.00,0.12,0.50,0.99
r1_lag0_3072_smoke,results/r1_lag0_3072_smoke.log,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,0,,,,,,0.938,+0.25,0.75,1.00,0.50,0.99
r1_lag_smoke,results/r1_lag_smoke.log,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,0,,,,,,0.875,+0.25,0.75,1.00,0.50,0.99
r1_lag_smoke,results/r1_lag_smoke.log,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,1,91.67,1.00,0.00,1851.5,0.917,,,,,,
r1_lag_smoke,results/r1_lag_smoke.log,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,2,85.00,0.83,0.00,2382.8,0.833,0.771,+0.67,0.33,1.00,0.50,0.99
evidential_r1_loo,results/r1_loo.log,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,0,,,,,,0.875,+0.25,0.75,1.00,0.50,0.99
evidential_r1_loo,results/r1_loo.log,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,1,100.00,1.00,0.00,1851.5,1.000,,,,,,
evidential_r1_loo,results/r1_loo.log,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,10,88.33,0.92,0.00,2217.8,0.917,0.812,+0.50,0.50,1.00,0.50,0.99
evidential_r1_loo,results/r1_loo.log,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,20,84.44,0.33,0.00,1689.1,0.333,0.625,+1.00,0.00,1.00,0.50,0.99
evidential_r1_loo,results/r1_loo.log,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30,74.44,0.50,0.00,2269.2,0.500,0.625,+0.50,0.25,0.75,0.50,0.99
r1_loo_smoke,results/r1_loo_smoke.log,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,0,,,,,,0.500,+1.00,0.00,1.00,0.50,0.99
r1_loo_smoke,results/r1_loo_smoke.log,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,1,100.00,1.00,0.00,1851.5,1.000,,,,,,
r1_loo_smoke,results/r1_loo_smoke.log,evidential,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,2,88.33,0.92,0.00,2220.2,0.917,,,,,,
r1_smoke,results/r1_smoke.log,evidential_modelpred,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,0,,,,,,0.750,+0.50,0.50,1.00,0.50,0.99
