arm,p,k_rate,n,n_valid,invalid_rate,ci_lo,ci_hi
no_cot,0.5,0.9,20,20,0.0,0.6989617935882066,0.9721341060158468
no_cot,0.6,0.95,20,20,0.0,0.7638641064874331,0.9911187805671268
no_cot,0.7,0.9,20,20,0.0,0.6989617935882066,0.9721341060158468
no_cot,0.75,0.8,20,20,0.0,0.5839782779742401,0.9193436467288
no_cot,0.8,0.7,20,20,0.0,0.4810232237710206,0.854524726031006
no_cot,0.85,0.8,20,20,0.0,0.5839782779742401,0.9193436467288
no_cot,0.9,0.7,20,20,0.0,0.4810232237710206,0.854524726031006
no_cot,0.99,0.9,20,20,0.0,0.6989617935882066,0.9721341060158468
free_cot,0.5,0.3076923076923077,20,13,0.35,0.12680497161618087,0.5763111218666236
free_cot,0.6,0.46153846153846156,20,13,0.35,0.2320575430148814,0.7085656756816796
free_cot,0.7,0.3125,20,16,0.19999999999999996,0.14164435051961052,0.5559606813326594
free_cot,0.75,0.46153846153846156,20,13,0.35,0.2320575430148814,0.7085656756816796
free_cot,0.8,0.6666666666666666,20,12,0.4,0.3906175873976139,0.8618821601026385
free_cot,0.85,0.5555555555555556,20,9,0.55,0.2666473457440297,0.811224570528086
free_cot,0.9,0.3333333333333333,20,12,0.4,0.13811783989736134,0.609382412602386
free_cot,0.99,0.8181818181818182,20,11,0.44999999999999996,0.5230138624217553,0.9486333993289995
scaffolded,0.5,0.8,20,20,0.0,0.5839782779742401,0.9193436467288
scaffolded,0.6,0.6,20,20,0.0,0.3865779423152061,0.7811960325858074
scaffolded,0.7,0.6,20,20,0.0,0.3865779423152061,0.7811960325858074
scaffolded,0.75,0.7894736842105263,20,19,0.050000000000000044,0.5666528575973392,0.9149246150840843
scaffolded,0.8,0.6842105263157895,20,19,0.050000000000000044,0.4601001017506463,0.846358289955714
scaffolded,0.85,0.8,20,20,0.0,0.5839782779742401,0.9193436467288
scaffolded,0.9,0.55,20,20,0.0,0.3420820083075997,0.7418049791429071
scaffolded,0.99,0.75,20,20,0.0,0.5312949900419365,0.888139947210597
