arm,item_id,p,repeat,chosen_role,chosen_token,is_valid,is_k,seed_key
no_cot,opaque_00,0.5,0,cdt,T,True,0.0,opaque_00|0.500000|0|0
no_cot,opaque_00,0.8,0,cdt,U,True,0.0,opaque_00|0.800000|0|0
no_cot,opaque_00,0.99,0,non_cdt,T,True,1.0,opaque_00|0.990000|0|0
no_cot,opaque_01,0.5,0,non_cdt,L,True,1.0,opaque_01|0.500000|0|0
no_cot,opaque_01,0.8,0,cdt,P,True,0.0,opaque_01|0.800000|0|0
no_cot,opaque_01,0.99,0,non_cdt,T,True,1.0,opaque_01|0.990000|0|0
free_cot,opaque_00,0.5,0,non_cdt,S,True,1.0,opaque_00|0.500000|0|0
free_cot,opaque_00,0.8,0,invalid,,False,0.0,opaque_00|0.800000|0|0
free_cot,opaque_00,0.99,0,cdt,S,True,0.0,opaque_00|0.990000|0|0
free_cot,opaque_01,0.5,0,invalid,,False,0.0,opaque_01|0.500000|0|0
free_cot,opaque_01,0.8,0,invalid,,False,0.0,opaque_01|0.800000|0|0
free_cot,opaque_01,0.99,0,cdt,S,True,0.0,opaque_01|0.990000|0|0
scaffolded,opaque_00,0.5,0,invalid,,False,0.0,opaque_00|0.500000|0|0
scaffolded,opaque_00,0.8,0,invalid,,False,0.0,opaque_00|0.800000|0|0
scaffolded,opaque_00,0.99,0,invalid,,False,0.0,opaque_00|0.990000|0|0
scaffolded,opaque_01,0.5,0,invalid,,False,0.0,opaque_01|0.500000|0|0
scaffolded,opaque_01,0.8,0,invalid,,False,0.0,opaque_01|0.800000|0|0
scaffolded,opaque_01,0.99,0,invalid,,False,0.0,opaque_01|0.990000|0|0
