condition,p,p_non_cdt_mean,p_optimal_mean,margin_mean,k_rate_argmax,optimal_rate_argmax,n
none,0.5,0.24468194495712348,0.7553180550428764,-9.787760416666666,0.25,0.75,12
none,0.6,0.37317019853222927,0.6268298014677708,-3.4680989583333335,0.3333333333333333,0.6666666666666666,12
none,0.7,0.04452409834142696,0.9554759016585731,-13.992513020833334,0.0,1.0,12
none,0.75,0.15669844883292305,0.8433015511670771,-10.680989583333334,0.08333333333333333,0.9166666666666666,12
none,0.8,0.34129912392117473,,-9.659505208333334,0.3333333333333333,,12
none,0.85,0.13874100124830102,0.13874100124830102,-12.869791666666666,0.16666666666666666,0.16666666666666666,12
none,0.9,0.059030821792657395,0.059030821792657395,-12.901692708333334,0.0,0.0,12
none,0.99,0.1063629620311814,0.1063629620311814,-12.477213541666666,0.08333333333333333,0.08333333333333333,12
variables,0.5,0.26209806101625677,0.7379019389837432,-9.625,0.25,0.75,12
variables,0.6,0.3912195985151521,0.6087804014848479,-3.6640625,0.4166666666666667,0.5833333333333334,12
variables,0.7,0.08055508601604987,0.9194449139839503,-14.055013020833334,0.08333333333333333,0.9166666666666666,12
variables,0.75,0.2259002853202545,0.7740997146797456,-11.157552083333334,0.25,0.75,12
variables,0.8,0.314881568492903,,-10.0,0.3333333333333333,,12
variables,0.85,0.08410709036155102,0.08410709036155102,-13.51171875,0.08333333333333333,0.08333333333333333,12
variables,0.9,0.07566383433444458,0.07566383433444458,-12.74609375,0.08333333333333333,0.08333333333333333,12
variables,0.99,0.07760019710169042,0.07760019710169042,-13.087239583333334,0.08333333333333333,0.08333333333333333,12
formulas,0.5,0.24440850303585349,0.7555914969641465,-9.7578125,0.25,0.75,12
formulas,0.6,0.3386347715493459,0.661365228450654,-4.46044921875,0.3333333333333333,0.6666666666666666,12
formulas,0.7,0.050081831553582895,0.9499181684464171,-13.970703125,0.0,1.0,12
formulas,0.75,0.17382795869174691,0.8261720413082531,-10.973958333333334,0.08333333333333333,0.9166666666666666,12
formulas,0.8,0.27693842636860927,,-10.384765625,0.25,,12
formulas,0.85,0.03978793656272726,0.03978793656272726,-13.449869791666666,0.0,0.0,12
formulas,0.9,0.07949201098905999,0.07949201098905999,-12.503255208333334,0.08333333333333333,0.08333333333333333,12
formulas,0.99,0.07010897317880153,0.07010897317880153,-13.388020833333334,0.08333333333333333,0.08333333333333333,12
numeric_evs,0.5,0.2377706228239795,0.7622293771760204,-9.80078125,0.25,0.75,12
numeric_evs,0.6,0.3621593577313958,0.6378406422686042,-3.9856770833333335,0.3333333333333333,0.6666666666666666,12
numeric_evs,0.7,0.04442983495388139,0.9555701650461185,-14.315104166666666,0.0,1.0,12
numeric_evs,0.75,0.19361894975179503,0.8063810502482048,-11.239583333333334,0.08333333333333333,0.9166666666666666,12
numeric_evs,0.8,0.3119555559607597,,-9.421630859375,0.3333333333333333,,12
numeric_evs,0.85,0.07773043649546311,0.07773043649546311,-13.14453125,0.08333333333333333,0.08333333333333333,12
numeric_evs,0.9,0.11696945714818298,0.11696945714818298,-12.369791666666666,0.16666666666666666,0.16666666666666666,12
numeric_evs,0.99,0.0856325985264646,0.0856325985264646,-13.143229166666666,0.08333333333333333,0.08333333333333333,12
comparison,0.5,0.2422716263792518,0.7577283736207482,-9.825520833333334,0.25,0.75,12
comparison,0.6,0.35550310241842037,0.6444968975815796,-4.279947916666667,0.3333333333333333,0.6666666666666666,12
comparison,0.7,0.07036996043039313,0.9296300395696068,-14.2734375,0.08333333333333333,0.9166666666666666,12
comparison,0.75,0.20400050750130086,0.7959994924986993,-11.09375,0.16666666666666666,0.8333333333333334,12
comparison,0.8,0.3028754717945256,,-9.8583984375,0.3333333333333333,,12
comparison,0.85,0.0890085599685397,0.0890085599685397,-13.567057291666666,0.08333333333333333,0.08333333333333333,12
comparison,0.9,0.0913729788359595,0.0913729788359595,-12.473958333333334,0.08333333333333333,0.08333333333333333,12
comparison,0.99,0.07841436561230232,0.07841436561230232,-13.34375,0.08333333333333333,0.08333333333333333,12
full,0.5,0.1965644608911669,0.803435539108833,-9.959635416666666,0.16666666666666666,0.8333333333333334,12
full,0.6,0.3181223051021896,0.6818776948978105,-4.1875,0.25,0.75,12
full,0.7,0.07144639421899385,0.9285536057810061,-14.149739583333334,0.08333333333333333,0.9166666666666666,12
full,0.75,0.20655161781772668,0.7934483821822732,-11.065104166666666,0.25,0.75,12
full,0.8,0.32152936634128515,,-9.24951171875,0.3333333333333333,,12
full,0.85,0.0937713479871511,0.0937713479871511,-13.044270833333334,0.08333333333333333,0.08333333333333333,12
full,0.9,0.11681708200348463,0.11681708200348463,-12.079752604166666,0.16666666666666666,0.16666666666666666,12
full,0.99,0.08441017648970812,0.08441017648970812,-13.298177083333334,0.08333333333333333,0.08333333333333333,12
