condition,p,p_non_cdt_mean,p_optimal_mean,margin_mean,k_rate_argmax,optimal_rate_argmax,n
none,0.5,0.42595014173274576,0.5740498582672543,0.2775472005208333,0.4166666666666667,0.5833333333333334,12
none,0.6,0.8339013994079617,0.16609860059203832,11.195963541666666,0.8333333333333334,0.16666666666666666,12
none,0.7,0.3300209561284535,0.6699790438715465,-4.984375,0.3333333333333333,0.6666666666666666,12
none,0.75,0.5111868590729403,0.48881314092705974,-0.6276041666666666,0.5,0.5,12
none,0.8,0.5008072796016554,,1.9778645833333333,0.5,,12
none,0.85,0.4726879527643462,0.4726879527643462,-1.5885416666666667,0.5,0.5,12
none,0.9,0.4958622821891907,0.4958622821891907,-3.486328125,0.5,0.5,12
none,0.99,0.3698876320100583,0.3698876320100583,-2.4166666666666665,0.3333333333333333,0.3333333333333333,12
variables,0.5,0.36376191622311765,0.6362380837768823,-2.1221516927083335,0.3333333333333333,0.6666666666666666,12
variables,0.6,0.7923985897649158,0.20760141023508413,8.888346354166666,0.8333333333333334,0.16666666666666666,12
variables,0.7,0.21334728504213318,0.7866527149578669,-6.94580078125,0.16666666666666666,0.8333333333333334,12
variables,0.75,0.46842131616881,0.5315786838311901,-3.6153971354166665,0.5,0.5,12
variables,0.8,0.5000337167672289,,-1.72900390625,0.5,,12
variables,0.85,0.35490320203737435,0.35490320203737435,-5.18701171875,0.3333333333333333,0.3333333333333333,12
variables,0.9,0.44170919316013474,0.44170919316013474,-5.596354166666667,0.4166666666666667,0.4166666666666667,12
variables,0.99,0.3091594795869779,0.3091594795869779,-5.669759114583333,0.3333333333333333,0.3333333333333333,12
formulas,0.5,0.38177418114563255,0.6182258188543673,-1.8402659098307292,0.3333333333333333,0.6666666666666666,12
formulas,0.6,0.7543598038549217,0.24564019614507837,7.27587890625,0.75,0.25,12
formulas,0.7,0.22300874485672717,0.7769912551432728,-5.630045572916667,0.16666666666666666,0.8333333333333334,12
formulas,0.75,0.4145675676564898,0.5854324323435103,-2.7073872884114585,0.3333333333333333,0.6666666666666666,12
formulas,0.8,0.5007424382640671,,-1.1808268229166667,0.5,,12
formulas,0.85,0.38032201762494694,0.38032201762494694,-4.448811848958333,0.3333333333333333,0.3333333333333333,12
formulas,0.9,0.40309787393538427,0.40309787393538427,-4.721872965494792,0.4166666666666667,0.4166666666666667,12
formulas,0.99,0.3134659384468671,0.3134659384468671,-4.600484212239583,0.3333333333333333,0.3333333333333333,12
numeric_evs,0.5,0.36771567460862165,0.6322843253913784,-2.4939778645833335,0.3333333333333333,0.6666666666666666,12
numeric_evs,0.6,0.7523263115754891,0.2476736884245108,6.772786458333333,0.75,0.25,12
numeric_evs,0.7,0.19701419960891595,0.8029858003910841,-6.530354817708333,0.16666666666666666,0.8333333333333334,12
numeric_evs,0.75,0.420484524211,0.579515475789,-3.3671875,0.4166666666666667,0.5833333333333334,12
numeric_evs,0.8,0.5001906807544447,,-2.1529947916666665,0.5,,12
numeric_evs,0.85,0.3606849096289442,0.3606849096289442,-5.060201009114583,0.3333333333333333,0.3333333333333333,12
numeric_evs,0.9,0.38190084115128736,0.38190084115128736,-5.444986979166667,0.4166666666666667,0.4166666666666667,12
numeric_evs,0.99,0.30442903481529493,0.30442903481529493,-5.265055338541667,0.3333333333333333,0.3333333333333333,12
comparison,0.5,0.36485257545772926,0.6351474245422706,-3.5237630208333335,0.3333333333333333,0.6666666666666666,12
comparison,0.6,0.76184578871998,0.23815421128002015,7.129557291666667,0.75,0.25,12
comparison,0.7,0.18515293652588696,0.8148470634741131,-8.16015625,0.16666666666666666,0.8333333333333334,12
comparison,0.75,0.4156685940141252,0.5843314059858747,-4.327473958333333,0.4166666666666667,0.5833333333333334,12
comparison,0.8,0.49999259358955145,,-0.6673177083333334,0.5,,12
comparison,0.85,0.36202636847200975,0.36202636847200975,-4.54541015625,0.3333333333333333,0.3333333333333333,12
comparison,0.9,0.42068907487498475,0.42068907487498475,-5.065999348958333,0.4166666666666667,0.4166666666666667,12
comparison,0.99,0.31133653842015474,0.31133653842015474,-4.624348958333333,0.3333333333333333,0.3333333333333333,12
full,0.5,0.3550111452525085,0.6449888547474916,-4.018839518229167,0.3333333333333333,0.6666666666666666,12
full,0.6,0.750127060176799,0.24987293982320094,4.637451171875,0.75,0.25,12
full,0.7,0.17299282047108197,0.827007179528918,-7.662150065104167,0.16666666666666666,0.8333333333333334,12
full,0.75,0.34385441328868055,0.6561455867113195,-4.394124348958333,0.3333333333333333,0.6666666666666666,12
full,0.8,0.4995642211479205,,-1.2194010416666667,0.5,,12
full,0.85,0.4420025004755288,0.4420025004755288,-3.1486002604166665,0.4166666666666667,0.4166666666666667,12
full,0.9,0.4643414863010826,0.4643414863010826,-4.328125,0.5,0.5,12
full,0.99,0.29857383404110155,0.29857383404110155,-4.2310791015625,0.3333333333333333,0.3333333333333333,12
