condition,p,p_non_cdt_mean,p_optimal_mean,margin_mean,k_rate_argmax,optimal_rate_argmax,n
none,0.5,0.690498400677129,0.3095015993228711,4.387369791666667,0.6666666666666666,0.3333333333333333,12
none,0.6,0.9057485699611293,0.09425143003887071,12.601236979166666,0.9166666666666666,0.08333333333333333,12
none,0.7,0.6134970099767277,0.38650299002327215,1.0963541666666667,0.6666666666666666,0.3333333333333333,12
none,0.75,0.6268270172369549,0.373172982763045,3.6041666666666665,0.6666666666666666,0.3333333333333333,12
none,0.8,0.583259250890585,,3.71484375,0.5833333333333334,,12
none,0.85,0.661033415806279,0.661033415806279,3.306640625,0.6666666666666666,0.6666666666666666,12
none,0.9,0.476384919124726,0.476384919124726,1.17578125,0.4166666666666667,0.4166666666666667,12
none,0.99,0.7217119139990924,0.7217119139990924,4.320963541666667,0.75,0.75,12
variables,0.5,0.42347661897128613,0.576523381028714,-1.5520833333333333,0.4166666666666667,0.5833333333333334,12
variables,0.6,0.7976291729322935,0.2023708270677066,5.09765625,0.8333333333333334,0.16666666666666666,12
variables,0.7,0.20473808912342176,0.7952619108765782,-5.216796875,0.16666666666666666,0.8333333333333334,12
variables,0.75,0.4206983677106985,0.5793016322893014,-1.91015625,0.4166666666666667,0.5833333333333334,12
variables,0.8,0.5825012408764572,,-2.77783203125,0.5833333333333334,,12
variables,0.85,0.473546594458885,0.473546594458885,-3.6149088541666665,0.5,0.5,12
variables,0.9,0.3361251963519709,0.3361251963519709,-4.360148111979167,0.3333333333333333,0.3333333333333333,12
variables,0.99,0.363111432061783,0.363111432061783,-2.3606770833333335,0.3333333333333333,0.3333333333333333,12
formulas,0.5,0.40232127680753577,0.5976787231924642,-2.0565999348958335,0.4166666666666667,0.5833333333333334,12
formulas,0.6,0.8117925544488394,0.18820744555116076,4.833333333333333,0.8333333333333334,0.16666666666666666,12
formulas,0.7,0.1894713250529996,0.8105286749470003,-5.590169270833333,0.16666666666666666,0.8333333333333334,12
formulas,0.75,0.4169420688785687,0.5830579311214313,-2.5810546875,0.4166666666666667,0.5833333333333334,12
formulas,0.8,0.5750602551119349,,-3.0281168619791665,0.5833333333333334,,12
formulas,0.85,0.428811426002327,0.428811426002327,-4.3937021891276045,0.4166666666666667,0.4166666666666667,12
formulas,0.9,0.3349635082652664,0.3349635082652664,-5.115559895833333,0.3333333333333333,0.3333333333333333,12
formulas,0.99,0.3228725858523044,0.3228725858523044,-3.1429036458333335,0.3333333333333333,0.3333333333333333,12
numeric_evs,0.5,0.3039647481479905,0.6960352518520095,-7.24560546875,0.3333333333333333,0.6666666666666666,12
numeric_evs,0.6,0.7602277973123212,0.23977220268767893,3.1510416666666665,0.75,0.25,12
numeric_evs,0.7,0.16549451854998956,0.8345054814500105,-10.23602294921875,0.16666666666666666,0.8333333333333334,12
numeric_evs,0.75,0.33061393595604355,0.6693860640439565,-7.926350911458333,0.3333333333333333,0.6666666666666666,12
numeric_evs,0.8,0.5820465811019099,,-2.3561197916666665,0.5833333333333334,,12
numeric_evs,0.85,0.5390545849057796,0.5390545849057796,-1.5533854166666667,0.5,0.5,12
numeric_evs,0.9,0.3364261974798695,0.3364261974798695,-3.716796875,0.3333333333333333,0.3333333333333333,12
numeric_evs,0.99,0.3459836119654036,0.3459836119654036,-2.9105224609375,0.3333333333333333,0.3333333333333333,12
comparison,0.5,0.32757824799856106,0.6724217520014389,-7.6474609375,0.3333333333333333,0.6666666666666666,12
comparison,0.6,0.6600388294828319,0.3399611705171681,-0.5859375,0.6666666666666666,0.3333333333333333,12
comparison,0.7,0.1663855712312425,0.8336144287687576,-11.050455729166666,0.16666666666666666,0.8333333333333334,12
comparison,0.75,0.34247166497472836,0.6575283350252715,-7.9970703125,0.3333333333333333,0.6666666666666666,12
comparison,0.8,0.5643180130163438,,-3.7045084635416665,0.5833333333333334,,12
comparison,0.85,0.5378521676416913,0.5378521676416913,-0.5455729166666666,0.5,0.5,12
comparison,0.9,0.40569140701917444,0.40569140701917444,-1.0201822916666667,0.4166666666666667,0.4166666666666667,12
comparison,0.99,0.5807610916957299,0.5807610916957299,0.7466634114583334,0.5833333333333334,0.5833333333333334,12
full,0.5,0.24258909225636816,0.7574109077436316,-9.366861979166666,0.25,0.75,12
full,0.6,0.5757786419687357,0.4242213580312643,-1.712890625,0.5833333333333334,0.4166666666666667,12
full,0.7,0.13918778321776967,0.8608122167822302,-12.873209635416666,0.16666666666666666,0.8333333333333334,12
full,0.75,0.2502430947087699,0.7497569052912301,-9.991861979166666,0.25,0.75,12
full,0.8,0.5486295678653462,,-3.85693359375,0.5833333333333334,,12
full,0.85,0.6737238970577439,0.6737238970577439,7.6201171875,0.6666666666666666,0.6666666666666666,12
full,0.9,0.4397555889455416,0.4397555889455416,4.608723958333333,0.4166666666666667,0.4166666666666667,12
full,0.99,0.7414517262030899,0.7414517262030899,5.042399088541667,0.75,0.75,12
