condition,p,p_non_cdt_mean,p_optimal_mean,margin_mean,k_rate_argmax,optimal_rate_argmax,n
none,0.5,0.47651018899969433,0.5234898110003057,1.0810546875,0.5,0.5,12
none,0.6,0.8114073472505442,0.1885926527494558,12.611653645833334,0.8333333333333334,0.16666666666666666,12
none,0.7,0.38832523001918134,0.6116747699808187,-3.7421875,0.4166666666666667,0.5833333333333334,12
none,0.75,0.3902743272461043,0.6097256727538957,-2.6619974772135415,0.4166666666666667,0.5833333333333334,12
none,0.8,0.502163105719684,,0.12093098958333333,0.5,,12
none,0.85,0.4663554954901255,0.4663554954901255,-3.6842447916666665,0.5,0.5,12
none,0.9,0.444656710686874,0.444656710686874,-4.032552083333333,0.4166666666666667,0.4166666666666667,12
none,0.99,0.3404712023722276,0.3404712023722276,-2.5830078125,0.3333333333333333,0.3333333333333333,12
variables,0.5,0.33382425993384085,0.6661757400661591,-6.31640625,0.3333333333333333,0.6666666666666666,12
variables,0.6,0.7510187073211196,0.24898129267888044,2.4778645833333335,0.75,0.25,12
variables,0.7,0.16683882613778359,0.8331611738622163,-11.639119466145834,0.16666666666666666,0.8333333333333334,12
variables,0.75,0.3334337467287178,0.6665662532712823,-8.5894775390625,0.3333333333333333,0.6666666666666666,12
variables,0.8,0.49997134252260694,,-8.934244791666666,0.5,,12
variables,0.85,0.332693166269517,0.332693166269517,-10.923828125,0.3333333333333333,0.3333333333333333,12
variables,0.9,0.2509682423864298,0.2509682423864298,-11.398111979166666,0.25,0.25,12
variables,0.99,0.2502788901969056,0.2502788901969056,-8.921875,0.25,0.25,12
formulas,0.5,0.3339462797791714,0.6660537202208286,-6.825113932291667,0.3333333333333333,0.6666666666666666,12
formulas,0.6,0.729360984554583,0.27063901544541696,1.672607421875,0.75,0.25,12
formulas,0.7,0.1669033737457489,0.833096626254251,-12.581380208333334,0.16666666666666666,0.8333333333333334,12
formulas,0.75,0.3333860382497586,0.6666139617502412,-9.078450520833334,0.3333333333333333,0.6666666666666666,12
formulas,0.8,0.4999526777813829,,-8.712300618489584,0.5,,12
formulas,0.85,0.2763946779692958,0.2763946779692958,-11.680501302083334,0.25,0.25,12
formulas,0.9,0.250363736876911,0.250363736876911,-12.17205810546875,0.25,0.25,12
formulas,0.99,0.2500053849395767,0.2500053849395767,-10.370442708333334,0.25,0.25,12
numeric_evs,0.5,0.3287854965783225,0.6712145034216775,-9.700520833333334,0.3333333333333333,0.6666666666666666,12
numeric_evs,0.6,0.7431183789563232,0.25688162104367696,1.5509440104166667,0.75,0.25,12
numeric_evs,0.7,0.16477849965168745,0.8352215003483127,-14.629557291666666,0.16666666666666666,0.8333333333333334,12
numeric_evs,0.75,0.3319830314793301,0.6680169685206697,-12.44921875,0.3333333333333333,0.6666666666666666,12
numeric_evs,0.8,0.4995536858626424,,-7.426188151041667,0.5,,12
numeric_evs,0.85,0.31460281983127864,0.31460281983127864,-9.539713541666666,0.3333333333333333,0.3333333333333333,12
numeric_evs,0.9,0.25064856746753783,0.25064856746753783,-11.680338541666666,0.25,0.25,12
numeric_evs,0.99,0.24996545311237015,0.24996545311237015,-11.025146484375,0.25,0.25,12
comparison,0.5,0.3331198974767086,0.6668801025232914,-9.69921875,0.3333333333333333,0.6666666666666666,12
comparison,0.6,0.6727772512447898,0.3272227487552102,-2.2421875,0.75,0.25,12
comparison,0.7,0.16664709769679614,0.8333529023032039,-15.649739583333334,0.16666666666666666,0.8333333333333334,12
comparison,0.75,0.3331457995537825,0.6668542004462176,-12.31689453125,0.3333333333333333,0.6666666666666666,12
comparison,0.8,0.49994748902931335,,-8.437174479166666,0.5,,12
comparison,0.85,0.33758844445358616,0.33758844445358616,-7.154947916666667,0.3333333333333333,0.3333333333333333,12
comparison,0.9,0.39207958649883334,0.39207958649883334,-6.110677083333333,0.4166666666666667,0.4166666666666667,12
comparison,0.99,0.2684017813071001,0.2684017813071001,-6.537923177083333,0.25,0.25,12
full,0.5,0.2696272618066073,0.7303727381933927,-12.1171875,0.25,0.75,12
full,0.6,0.5481419607471935,0.45185803925280643,-3.4609375,0.5833333333333334,0.4166666666666667,12
full,0.7,0.15285503350747362,0.8471449664925262,-16.725260416666668,0.16666666666666666,0.8333333333333334,12
full,0.75,0.32166149423078155,0.6783385057692185,-13.901041666666666,0.3333333333333333,0.6666666666666666,12
full,0.8,0.49822127469678334,,-8.497721354166666,0.5,,12
full,0.85,0.6346970633982789,0.6346970633982789,1.830078125,0.6666666666666666,0.6666666666666666,12
full,0.9,0.43236713964933965,0.43236713964933965,-0.17887369791666666,0.4166666666666667,0.4166666666666667,12
full,0.99,0.39962055675339103,0.39962055675339103,-2.4276529947916665,0.4166666666666667,0.4166666666666667,12
