condition,p,p_non_cdt_mean,p_optimal_mean,margin_mean,k_rate_argmax,optimal_rate_argmax,n
none,0.5,0.7144490262740868,0.28555097372591315,6.3943359375,0.7,0.3,20
none,0.6,0.8199612719589202,0.18003872804107965,9.48076171875,0.85,0.15,20
none,0.7,0.7847658598207488,0.21523414017925138,4.906689453125,0.8,0.2,20
none,0.75,0.7370617888110003,0.2629382111889996,8.0111328125,0.8,0.2,20
none,0.8,0.6183838586101922,,3.398046875,0.65,,20
none,0.85,0.5108222688780051,0.5108222688780051,-0.0248046875,0.5,0.5,20
none,0.9,0.6145912372828647,0.6145912372828647,3.4296875,0.6,0.6,20
none,0.99,0.6176230285010798,0.6176230285010798,1.903759765625,0.7,0.7,20
variables,0.5,0.46753355081334413,0.5324664491866559,-1.0119140625,0.45,0.55,20
variables,0.6,0.5571850441207353,0.4428149558792646,1.57734375,0.55,0.45,20
variables,0.7,0.41563491581751666,0.5843650841824833,-1.737890625,0.4,0.6,20
variables,0.75,0.5479525471861227,0.45204745281387737,1.2138916015625,0.55,0.45,20
variables,0.8,0.45734778288055855,,-4.129522705078125,0.45,,20
variables,0.85,0.35745398851339444,0.35745398851339444,-7.545068359375,0.35,0.35,20
variables,0.9,0.4581344630464591,0.4581344630464591,-2.07060546875,0.45,0.45,20
variables,0.99,0.23598202254271855,0.23598202254271855,-5.98974609375,0.25,0.25,20
formulas,0.5,0.4702333217473814,0.5297666782526185,-2.5814453125,0.45,0.55,20
formulas,0.6,0.5608290843023874,0.4391709156976126,0.65048828125,0.55,0.45,20
formulas,0.7,0.3135729602454186,0.6864270397545816,-3.41015625,0.3,0.7,20
formulas,0.75,0.5476485967173528,0.452351403282647,0.22255859375,0.55,0.45,20
formulas,0.8,0.41270538970190673,,-5.410546875,0.4,,20
formulas,0.85,0.3298046698771612,0.3298046698771612,-8.167236328125,0.35,0.35,20
formulas,0.9,0.36108837153731077,0.36108837153731077,-3.58515625,0.35,0.35,20
formulas,0.99,0.22212611661066628,0.22212611661066628,-6.2291015625,0.2,0.2,20
numeric_evs,0.5,0.29165749823281606,0.7083425017671839,-10.251171875,0.35,0.65,20
numeric_evs,0.6,0.5070897439350548,0.49291025606494526,-2.3351806640625,0.5,0.5,20
numeric_evs,0.7,0.19244620801536125,0.8075537919846388,-10.316015625,0.2,0.8,20
numeric_evs,0.75,0.43558713951522227,0.5644128604847777,-6.617041015625,0.45,0.55,20
numeric_evs,0.8,0.43645914971321387,,-4.420458984375,0.45,,20
numeric_evs,0.85,0.42527962306599215,0.42527962306599215,-5.20234375,0.45,0.45,20
numeric_evs,0.9,0.4051384787783322,0.4051384787783322,-2.0857421875,0.4,0.4,20
numeric_evs,0.99,0.2109792013259363,0.2109792013259363,-8.2125,0.2,0.2,20
comparison,0.5,0.36341800272053953,0.6365819972794605,-8.0413330078125,0.4,0.6,20
comparison,0.6,0.4170730446880414,0.5829269553119587,-5.2774169921875,0.45,0.55,20
comparison,0.7,0.22468672918797977,0.7753132708120202,-8.95546875,0.2,0.8,20
comparison,0.75,0.4833620255225334,0.5166379744774666,-4.98095703125,0.5,0.5,20
comparison,0.8,0.45964399501919084,,-4.65068359375,0.45,,20
comparison,0.85,0.4455309576629933,0.4455309576629933,-3.32998046875,0.45,0.45,20
comparison,0.9,0.5783500371074993,0.5783500371074993,1.842578125,0.6,0.6,20
comparison,0.99,0.44507901816145556,0.44507901816145556,-1.66640625,0.45,0.45,20
full,0.5,0.20439835161393716,0.7956016483860627,-11.3609375,0.2,0.8,20
full,0.6,0.29712737204219636,0.7028726279578035,-7.413671875,0.3,0.7,20
full,0.7,0.1360572902386067,0.8639427097613934,-12.11015625,0.15,0.85,20
full,0.75,0.33990550527198465,0.6600944947280155,-8.12890625,0.35,0.65,20
full,0.8,0.41416524461742743,,-5.2880859375,0.4,,20
full,0.85,0.5511173239584038,0.5511173239584038,1.920849609375,0.55,0.55,20
full,0.9,0.6888108697269065,0.6888108697269065,6.053662109375,0.7,0.7,20
full,0.99,0.5996869125260225,0.5996869125260225,1.0880859375,0.65,0.65,20
