condition,p,p_non_cdt_mean,p_optimal_mean,margin_mean,k_rate_argmax,optimal_rate_argmax,n
none,0.5,0.7144490262740868,0.28555097372591315,6.3943359375,0.7,0.3,20
none,0.6,0.8199612719589202,0.18003872804107965,9.48076171875,0.85,0.15,20
none,0.7,0.7847658598207488,0.21523414017925138,4.906689453125,0.8,0.2,20
none,0.75,0.7370617888110003,0.2629382111889996,8.0111328125,0.8,0.2,20
none,0.8,0.6183838586101922,,3.398046875,0.65,,20
none,0.85,0.5108222688780051,0.5108222688780051,-0.0248046875,0.5,0.5,20
none,0.9,0.6145912372828647,0.6145912372828647,3.4296875,0.6,0.6,20
none,0.99,0.6176230285010798,0.6176230285010798,1.903759765625,0.7,0.7,20
variables,0.5,0.4575760559860672,0.5424239440139329,-3.05234375,0.45,0.55,20
variables,0.6,0.5267674732379242,0.4732325267620758,-0.89609375,0.5,0.5,20
variables,0.7,0.25688847248748364,0.7431115275125164,-5.0255126953125,0.25,0.75,20
variables,0.75,0.514841539102912,0.4851584608970881,-0.05107421875,0.5,0.5,20
variables,0.8,0.43350493216792,,-6.53486328125,0.45,,20
variables,0.85,0.3145400814212849,0.3145400814212849,-9.450732421875,0.3,0.3,20
variables,0.9,0.35724379329621037,0.35724379329621037,-4.98125,0.35,0.35,20
variables,0.99,0.23989513553768763,0.23989513553768763,-7.691009521484375,0.25,0.25,20
formulas,0.5,0.43948443273635274,0.5605155672636473,-1.9779296875,0.4,0.6,20
formulas,0.6,0.5374076054271915,0.46259239457280854,0.19453125,0.5,0.5,20
formulas,0.7,0.2655482902840117,0.7344517097159883,-3.73636474609375,0.25,0.75,20
formulas,0.75,0.5261150916207905,0.4738849083792095,0.6137451171875,0.5,0.5,20
formulas,0.8,0.42847574841923264,,-4.92822265625,0.4,,20
formulas,0.85,0.31803864445783264,0.31803864445783264,-7.74765625,0.3,0.3,20
formulas,0.9,0.36566367255390186,0.36566367255390186,-3.812890625,0.35,0.35,20
formulas,0.99,0.22471802770764845,0.22471802770764845,-6.15966796875,0.2,0.2,20
numeric_evs,0.5,0.33643006033763034,0.6635699396623698,-9.254296875,0.35,0.65,20
numeric_evs,0.6,0.5041123013463482,0.4958876986536519,-2.748828125,0.5,0.5,20
numeric_evs,0.7,0.19440725211301355,0.8055927478869863,-10.605078125,0.2,0.8,20
numeric_evs,0.75,0.43385053248505046,0.5661494675149494,-7.284375,0.45,0.55,20
numeric_evs,0.8,0.4423501280165662,,-4.331640625,0.45,,20
numeric_evs,0.85,0.3423236417051946,0.3423236417051946,-6.959033203125,0.35,0.35,20
numeric_evs,0.9,0.357025533467832,0.357025533467832,-5.07646484375,0.35,0.35,20
numeric_evs,0.99,0.19986629998550914,0.19986629998550914,-10.478857421875,0.2,0.2,20
comparison,0.5,0.36536956583334257,0.6346304341666575,-9.17470703125,0.4,0.6,20
comparison,0.6,0.3663576593057223,0.6336423406942777,-7.19375,0.35,0.65,20
comparison,0.7,0.21504141043795127,0.7849585895620488,-10.95859375,0.2,0.8,20
comparison,0.75,0.4689721745874345,0.5310278254125655,-6.4916015625,0.45,0.55,20
comparison,0.8,0.4333197639035178,,-5.9745361328125,0.45,,20
comparison,0.85,0.41432377206467824,0.41432377206467824,-3.8265625,0.4,0.4,20
comparison,0.9,0.489089683294858,0.489089683294858,1.2857421875,0.45,0.45,20
comparison,0.99,0.47739307520527163,0.47739307520527163,-2.1646484375,0.45,0.45,20
full,0.5,0.2778448034140934,0.7221551965859067,-11.0796875,0.3,0.7,20
full,0.6,0.327562780489298,0.6724372195107019,-7.524609375,0.35,0.65,20
full,0.7,0.14968365489189456,0.8503163451081054,-12.42109375,0.15,0.85,20
full,0.75,0.37153725222693257,0.6284627477730675,-8.23515625,0.4,0.6,20
full,0.8,0.43476607504798154,,-4.84072265625,0.45,,20
full,0.85,0.5722187609647719,0.5722187609647719,4.08140869140625,0.55,0.55,20
full,0.9,0.6479398227970872,0.6479398227970872,7.7294921875,0.65,0.65,20
full,0.99,0.5333342662064653,0.5333342662064653,0.43505859375,0.5,0.5,20
