condition,p,p_non_cdt_mean,p_optimal_mean,margin_mean,k_rate_argmax,optimal_rate_argmax,n
none,0.5,0.4982268548943395,0.5017731451056605,-3.228515625,0.5,0.5,2
none,0.8,0.9995715930542264,,10.484375,1.0,,2
none,0.99,0.958725921342173,0.958725921342173,3.68212890625,1.0,1.0,2
variables,0.5,0.4911438667692274,0.5088561332307726,-6.6171875,0.5,0.5,2
variables,0.8,0.5912104429665295,,5.390625,0.5,,2
variables,0.99,0.022953596327649185,0.022953596327649185,-3.859375,0.0,0.0,2
formulas,0.5,0.46995668786653,0.53004331213347,-7.359375,0.5,0.5,2
formulas,0.8,0.5664309701715516,,3.65625,0.5,,2
formulas,0.99,0.12424442775179206,0.12424442775179206,-2.546875,0.0,0.0,2
numeric_evs,0.5,3.151380046016887e-05,0.9999684861995399,-17.35546875,0.0,1.0,2
numeric_evs,0.8,0.5820622105536628,,3.109375,0.5,,2
numeric_evs,0.99,0.0016164446602829321,0.0016164446602829321,-6.427734375,0.0,0.0,2
comparison,0.5,0.0051640762928289955,0.994835923707171,-13.999267578125,0.0,1.0,2
comparison,0.8,0.6225330439920629,,4.875,0.5,,2
comparison,0.99,0.5296323603840423,0.5296323603840423,0.4375,0.5,0.5,2
full,0.5,2.4684981915694273e-06,0.9999975315018084,-18.921875,0.0,1.0,2
full,0.8,0.5375270470428072,,2.3125,0.5,,2
full,0.99,0.9851211429045743,0.9851211429045743,5.0078125,1.0,1.0,2
