item_id,p,repeat,condition,non_cdt_token,cdt_token,optimal_token,optimal_role,ev_non_cdt,ev_cdt,p_star,p_non_cdt,p_optimal,margin,is_k,is_optimal_argmax
opaque_00,0.5,0,none,S,T,T,cdt,50.0,110.0,0.8,0.7431680086124811,0.2568319913875189,1.0625,1.0,0.0
opaque_00,0.5,0,variables,S,T,T,cdt,50.0,110.0,0.8,0.31405054499180746,0.6859494550081926,-0.78125,0.0,1.0
opaque_00,0.5,0,formulas,S,T,T,cdt,50.0,110.0,0.8,0.46490157137338844,0.5350984286266116,-0.140625,0.0,1.0
opaque_00,0.5,0,numeric_evs,S,T,T,cdt,50.0,110.0,0.8,0.35220178204788966,0.6477982179521103,-0.609375,0.0,1.0
opaque_00,0.5,0,comparison,S,T,T,cdt,50.0,110.0,0.8,0.3311197396289915,0.6688802603710085,-0.703125,0.0,1.0
opaque_00,0.5,0,full,S,T,T,cdt,50.0,110.0,0.8,0.23091976292927183,0.7690802370707281,-1.203125,0.0,1.0
opaque_00,0.6,0,none,K,M,M,cdt,60.0,100.0,0.8,0.9999999893677608,1.063223920017009e-08,18.359375,1.0,0.0
opaque_00,0.6,0,variables,K,M,M,cdt,60.0,100.0,0.8,0.9999997126314468,2.87368553175682e-07,15.0625,1.0,0.0
opaque_00,0.6,0,formulas,K,M,M,cdt,60.0,100.0,0.8,0.9999972735297293,2.726470270664194e-06,12.8125,1.0,0.0
opaque_00,0.6,0,numeric_evs,K,M,M,cdt,60.0,100.0,0.8,0.9999980666415416,1.933358458439116e-06,13.15625,1.0,0.0
opaque_00,0.6,0,comparison,K,M,M,cdt,60.0,100.0,0.8,0.9999995818812769,4.1811872308894493e-07,14.6875,1.0,0.0
opaque_00,0.6,0,full,K,M,M,cdt,60.0,100.0,0.8,0.999982768427248,1.723157275201892e-05,10.96875,1.0,0.0
opaque_00,0.7,0,none,M,K,K,cdt,70.0,90.0,0.8,5.5159330995965176e-09,0.9999999944840668,-19.015625,0.0,1.0
opaque_00,0.7,0,variables,M,K,K,cdt,70.0,90.0,0.8,8.327813436526549e-10,0.9999999991672187,-20.90625,0.0,1.0
