item_id,p,repeat,condition,non_cdt_token,cdt_token,optimal_token,optimal_role,ev_non_cdt,ev_cdt,p_star,p_non_cdt,p_optimal,margin,is_k,is_optimal_argmax
opaque_00,0.5,0,none,S,T,T,cdt,50.0,110.0,0.8,0.9950945942942779,0.004905405705722066,5.3125,1.0,0.0
opaque_00,0.5,0,variables,S,T,T,cdt,50.0,110.0,0.8,0.0038543638269116958,0.9961456361730883,-5.5546875,0.0,1.0
opaque_00,0.5,0,formulas,S,T,T,cdt,50.0,110.0,0.8,0.0021997980436915168,0.9978002019563085,-6.1171875,0.0,1.0
opaque_00,0.5,0,numeric_evs,S,T,T,cdt,50.0,110.0,0.8,3.763644718097441e-05,0.999962363552819,-10.1875,0.0,1.0
opaque_00,0.5,0,comparison,S,T,T,cdt,50.0,110.0,0.8,4.198630823683514e-05,0.9999580136917632,-10.078125,0.0,1.0
opaque_00,0.5,0,full,S,T,T,cdt,50.0,110.0,0.8,2.4061023397180246e-06,0.9999975938976603,-12.9375,0.0,1.0
opaque_00,0.6,0,none,K,M,M,cdt,60.0,100.0,0.8,0.9999999998141813,1.8581869376532723e-10,22.40625,1.0,0.0
opaque_00,0.6,0,variables,K,M,M,cdt,60.0,100.0,0.8,0.9999998724809571,1.2751904288066385e-07,15.875,1.0,0.0
opaque_00,0.6,0,formulas,K,M,M,cdt,60.0,100.0,0.8,0.9999992188516693,7.811483306863209e-07,14.0625,1.0,0.0
opaque_00,0.6,0,numeric_evs,K,M,M,cdt,60.0,100.0,0.8,0.9999251537724895,7.484622751052772e-05,9.5,1.0,0.0
opaque_00,0.6,0,comparison,K,M,M,cdt,60.0,100.0,0.8,0.9755769099458929,0.024423090054107144,3.6875,1.0,0.0
opaque_00,0.6,0,full,K,M,M,cdt,60.0,100.0,0.8,0.9669140216112958,0.033085978388704196,3.375,1.0,0.0
opaque_00,0.7,0,none,M,K,K,cdt,70.0,90.0,0.8,7.582560422162384e-10,0.999999999241744,-21.0,0.0,1.0
opaque_00,0.7,0,variables,M,K,K,cdt,70.0,90.0,0.8,4.096646486586966e-13,0.9999999999995903,-28.5234375,0.0,1.0
opaque_00,0.7,0,formulas,M,K,K,cdt,70.0,90.0,0.8,5.665456415949459e-13,0.9999999999994335,-28.19921875,0.0,1.0
opaque_00,0.7,0,numeric_evs,M,K,K,cdt,70.0,90.0,0.8,1.2204641154739204e-13,0.999999999999878,-29.734375,0.0,1.0
opaque_00,0.7,0,comparison,M,K,K,cdt,70.0,90.0,0.8,2.4032363350459813e-14,0.999999999999976,-31.359375,0.0,1.0
opaque_00,0.7,0,full,M,K,K,cdt,70.0,90.0,0.8,4.560541205573833e-14,0.9999999999999544,-30.71875,0.0,1.0
opaque_00,0.75,0,none,P,Q,Q,cdt,75.0,85.0,0.8,9.10793595020027e-12,0.9999999999908921,-25.421875,0.0,1.0
opaque_00,0.75,0,variables,P,Q,Q,cdt,75.0,85.0,0.8,4.7794061477674525e-14,0.9999999999999523,-30.671875,0.0,1.0
opaque_00,0.75,0,formulas,P,Q,Q,cdt,75.0,85.0,0.8,4.088042715797287e-14,0.9999999999999591,-30.828125,0.0,1.0
opaque_00,0.75,0,numeric_evs,P,Q,Q,cdt,75.0,85.0,0.8,9.559413682601055e-15,0.9999999999999905,-32.28125,0.0,1.0
opaque_00,0.75,0,comparison,P,Q,Q,cdt,75.0,85.0,0.8,5.798077487374015e-15,0.9999999999999942,-32.78125,0.0,1.0
opaque_00,0.75,0,full,P,Q,Q,cdt,75.0,85.0,0.8,4.658886145103376e-15,0.9999999999999953,-33.0,0.0,1.0
opaque_00,0.8,0,none,V,U,tie,tie,80.0,80.0,0.8,0.02595735719779685,,-3.625,0.0,
opaque_00,0.8,0,variables,V,U,tie,tie,80.0,80.0,0.8,8.939696304799167e-06,,-11.625,0.0,
opaque_00,0.8,0,formulas,V,U,tie,tie,80.0,80.0,0.8,1.3846004563753395e-05,,-11.1875,0.0,
opaque_00,0.8,0,numeric_evs,V,U,tie,tie,80.0,80.0,0.8,4.006369222920725e-05,,-10.125,0.0,
opaque_00,0.8,0,comparison,V,U,tie,tie,80.0,80.0,0.8,1.7778551863194697e-05,,-10.9375,0.0,
opaque_00,0.8,0,full,V,U,tie,tie,80.0,80.0,0.8,8.39807203495153e-06,,-11.6875,0.0,
opaque_00,0.85,0,none,V,U,V,non_cdt,85.0,75.0,0.8,0.9999934595627731,0.9999934595627731,11.9375,1.0,1.0
opaque_00,0.85,0,variables,V,U,V,non_cdt,85.0,75.0,0.8,0.9978172835546547,0.9978172835546547,6.125,1.0,1.0
opaque_00,0.85,0,formulas,V,U,V,non_cdt,85.0,75.0,0.8,0.32082130082460697,0.32082130082460697,-0.75,0.0,0.0
opaque_00,0.85,0,numeric_evs,V,U,V,non_cdt,85.0,75.0,0.8,0.7772998611746911,0.7772998611746911,1.25,1.0,1.0
opaque_00,0.85,0,comparison,V,U,V,non_cdt,85.0,75.0,0.8,0.9999687980886061,0.9999687980886061,10.375,1.0,1.0
opaque_00,0.85,0,full,V,U,V,non_cdt,85.0,75.0,0.8,0.9999934595627731,0.9999934595627731,11.9375,1.0,1.0
opaque_00,0.9,0,none,B,A,B,non_cdt,90.0,70.0,0.8,0.9219218348550491,0.9219218348550491,2.46875,1.0,1.0
opaque_00,0.9,0,variables,B,A,B,non_cdt,90.0,70.0,0.8,0.005139611097568844,0.005139611097568844,-5.265625,0.0,0.0
opaque_00,0.9,0,formulas,B,A,B,non_cdt,90.0,70.0,0.8,0.0037072528743862213,0.0037072528743862213,-5.59375,0.0,0.0
opaque_00,0.9,0,numeric_evs,B,A,B,non_cdt,90.0,70.0,0.8,0.0009584648438362855,0.0009584648438362855,-6.94921875,0.0,0.0
opaque_00,0.9,0,comparison,B,A,B,non_cdt,90.0,70.0,0.8,0.3702253925955866,0.3702253925955866,-0.53125,0.0,0.0
opaque_00,0.9,0,full,B,A,B,non_cdt,90.0,70.0,0.8,0.9724147177732099,0.9724147177732099,3.5625,1.0,1.0
opaque_00,0.99,0,none,T,S,T,non_cdt,99.0,61.0,0.8,0.9284088005554476,0.9284088005554476,2.5625,1.0,1.0
opaque_00,0.99,0,variables,T,S,T,non_cdt,99.0,61.0,0.8,0.003247676499188751,0.003247676499188751,-5.7265625,0.0,0.0
opaque_00,0.99,0,formulas,T,S,T,non_cdt,99.0,61.0,0.8,0.00012053648825760123,0.00012053648825760123,-9.0234375,0.0,0.0
opaque_00,0.99,0,numeric_evs,T,S,T,non_cdt,99.0,61.0,0.8,2.6688529572628563e-05,2.6688529572628563e-05,-10.53125,0.0,0.0
opaque_00,0.99,0,comparison,T,S,T,non_cdt,99.0,61.0,0.8,0.15203224162217424,0.15203224162217424,-1.71875,0.0,0.0
opaque_00,0.99,0,full,T,S,T,non_cdt,99.0,61.0,0.8,0.6150878555160665,0.6150878555160665,0.46875,1.0,1.0
opaque_01,0.5,0,none,L,J,J,cdt,50.0,110.0,0.8,2.8719709117265876e-11,0.9999999999712803,-24.2734375,0.0,1.0
opaque_01,0.5,0,variables,L,J,J,cdt,50.0,110.0,0.8,1.9200595648587385e-13,0.999999999999808,-29.28125,0.0,1.0
opaque_01,0.5,0,formulas,L,J,J,cdt,50.0,110.0,0.8,1.654386801812695e-13,0.9999999999998346,-29.43017578125,0.0,1.0
opaque_01,0.5,0,numeric_evs,L,J,J,cdt,50.0,110.0,0.8,8.98023808627331e-15,0.999999999999991,-32.34375,0.0,1.0
opaque_01,0.5,0,comparison,L,J,J,cdt,50.0,110.0,0.8,6.885387379793885e-15,0.9999999999999931,-32.609375,0.0,1.0
opaque_01,0.5,0,full,L,J,J,cdt,50.0,110.0,0.8,4.959358486191729e-15,0.999999999999995,-32.9375,0.0,1.0
opaque_01,0.6,0,none,G,H,H,cdt,60.0,100.0,0.8,0.9999932519484098,6.74805159017744e-06,11.90625,1.0,0.0
opaque_01,0.6,0,variables,G,H,H,cdt,60.0,100.0,0.8,0.9971104189822263,0.0028895810177737014,5.84375,1.0,0.0
opaque_01,0.6,0,formulas,G,H,H,cdt,60.0,100.0,0.8,0.9883127420043056,0.011687257995694367,4.4375,1.0,0.0
opaque_01,0.6,0,numeric_evs,G,H,H,cdt,60.0,100.0,0.8,0.995929862284104,0.004070137715896038,5.5,1.0,0.0
opaque_01,0.6,0,comparison,G,H,H,cdt,60.0,100.0,0.8,0.5,0.5,0.0,1.0,0.0
opaque_01,0.6,0,full,G,H,H,cdt,60.0,100.0,0.8,0.10669059394565118,0.8933094060543488,-2.125,0.0,1.0
opaque_01,0.7,0,none,V,U,U,cdt,70.0,90.0,0.8,0.0953494648991095,0.9046505351008904,-2.25,0.0,1.0
opaque_01,0.7,0,variables,V,U,U,cdt,70.0,90.0,0.8,1.0129990980873921e-05,0.9999898700090192,-11.5,0.0,1.0
opaque_01,0.7,0,formulas,V,U,U,cdt,70.0,90.0,0.8,7.889262586245034e-06,0.9999921107374138,-11.75,0.0,1.0
