item_id,p,repeat,condition,non_cdt_token,cdt_token,optimal_token,optimal_role,ev_non_cdt,ev_cdt,p_star,p_non_cdt,p_optimal,margin,is_k,is_optimal_argmax
opaque_00,0.5,0,none,S,T,T,cdt,50.0,110.0,0.8,0.9964481154509656,0.003551884549034434,5.63671875,1.0,0.0
opaque_00,0.5,0,variables,S,T,T,cdt,50.0,110.0,0.8,0.9822877012965885,0.01771229870341151,4.015625,1.0,0.0
opaque_00,0.5,0,formulas,S,T,T,cdt,50.0,110.0,0.8,0.9399133498259924,0.060086650174007605,2.75,1.0,0.0
opaque_00,0.5,0,numeric_evs,S,T,T,cdt,50.0,110.0,0.8,6.302758756443266e-05,0.9999369724124356,-9.671875,0.0,1.0
opaque_00,0.5,0,comparison,S,T,T,cdt,50.0,110.0,0.8,0.010328152519305191,0.9896718474806948,-4.5625,0.0,1.0
opaque_00,0.5,0,full,S,T,T,cdt,50.0,110.0,0.8,4.936988949458182e-06,0.9999950630110506,-12.21875,0.0,1.0
opaque_00,0.8,0,none,V,U,tie,tie,80.0,80.0,0.8,0.9991440993632549,,7.0625,1.0,
opaque_00,0.8,0,variables,V,U,tie,tie,80.0,80.0,0.8,0.18242552380635632,,-1.5,0.0,
opaque_00,0.8,0,formulas,V,U,tie,tie,80.0,80.0,0.8,0.13296424019782924,,-1.875,0.0,
opaque_00,0.8,0,numeric_evs,V,U,tie,tie,80.0,80.0,0.8,0.1645164628965632,,-1.625,0.0,
opaque_00,0.8,0,comparison,V,U,tie,tie,80.0,80.0,0.8,0.24508501313237172,,-1.125,0.0,
opaque_00,0.8,0,full,V,U,tie,tie,80.0,80.0,0.8,0.07585818002124356,,-2.5,0.0,
opaque_00,0.99,0,none,T,S,T,non_cdt,99.0,61.0,0.8,0.9922218855923075,0.9922218855923075,4.8486328125,1.0,1.0
opaque_00,0.99,0,variables,T,S,T,non_cdt,99.0,61.0,0.8,0.033085978388704126,0.033085978388704126,-3.375,0.0,0.0
opaque_00,0.99,0,formulas,T,S,T,non_cdt,99.0,61.0,0.8,0.22815650216092537,0.22815650216092537,-1.21875,0.0,0.0
opaque_00,0.99,0,numeric_evs,T,S,T,non_cdt,99.0,61.0,0.8,0.001518850841377843,0.001518850841377843,-6.48828125,0.0,0.0
opaque_00,0.99,0,comparison,T,S,T,non_cdt,99.0,61.0,0.8,0.9525741268224334,0.9525741268224334,3.0,1.0,1.0
opaque_00,0.99,0,full,T,S,T,non_cdt,99.0,61.0,0.8,0.9984632729386814,0.9984632729386814,6.4765625,1.0,1.0
opaque_01,0.5,0,none,L,J,J,cdt,50.0,110.0,0.8,5.594337713435001e-06,0.9999944056622866,-12.09375,0.0,1.0
opaque_01,0.5,0,variables,L,J,J,cdt,50.0,110.0,0.8,3.2241866333029355e-08,0.9999999677581337,-17.25,0.0,1.0
opaque_01,0.5,0,formulas,L,J,J,cdt,50.0,110.0,0.8,2.590706758057049e-08,0.9999999740929324,-17.46875,0.0,1.0
opaque_01,0.5,0,numeric_evs,L,J,J,cdt,50.0,110.0,0.8,1.3355905090381243e-11,0.9999999999866441,-25.0390625,0.0,1.0
opaque_01,0.5,0,comparison,L,J,J,cdt,50.0,110.0,0.8,6.635279995171144e-11,0.9999999999336472,-23.43603515625,0.0,1.0
opaque_01,0.5,0,full,L,J,J,cdt,50.0,110.0,0.8,7.433680672296929e-12,0.9999999999925663,-25.625,0.0,1.0
opaque_01,0.8,0,none,Q,P,tie,tie,80.0,80.0,0.8,0.999999086745198,,13.90625,1.0,
opaque_01,0.8,0,variables,Q,P,tie,tie,80.0,80.0,0.8,0.9999953621267027,,12.28125,1.0,
opaque_01,0.8,0,formulas,Q,P,tie,tie,80.0,80.0,0.8,0.9998977001452741,,9.1875,1.0,
opaque_01,0.8,0,numeric_evs,Q,P,tie,tie,80.0,80.0,0.8,0.9996079582107623,,7.84375,1.0,
opaque_01,0.8,0,comparison,Q,P,tie,tie,80.0,80.0,0.8,0.999981074851754,,10.875,1.0,
opaque_01,0.8,0,full,Q,P,tie,tie,80.0,80.0,0.8,0.9991959140643708,,7.125,1.0,
opaque_01,0.99,0,none,T,S,T,non_cdt,99.0,61.0,0.8,0.9252299570920387,0.9252299570920387,2.515625,1.0,1.0
opaque_01,0.99,0,variables,T,S,T,non_cdt,99.0,61.0,0.8,0.012821214266594244,0.012821214266594244,-4.34375,0.0,0.0
opaque_01,0.99,0,formulas,T,S,T,non_cdt,99.0,61.0,0.8,0.020332353342658753,0.020332353342658753,-3.875,0.0,0.0
opaque_01,0.99,0,numeric_evs,T,S,T,non_cdt,99.0,61.0,0.8,0.0017140384791880213,0.0017140384791880213,-6.3671875,0.0,0.0
opaque_01,0.99,0,comparison,T,S,T,non_cdt,99.0,61.0,0.8,0.10669059394565118,0.10669059394565118,-2.125,0.0,0.0
opaque_01,0.99,0,full,T,S,T,non_cdt,99.0,61.0,0.8,0.9717790128704671,0.9717790128704671,3.5390625,1.0,1.0
